country,country_normalized,country_code,record_count
Taiwan (Province of China),taiwan province of china,TWN,92
Democratic People's Republic of Korea,korea democratic people s rep of,PRK,42
Puerto Rico,puerto rico,PRI,29
Canary Islands,canary islands,SPI,16
Serbia Montenegro,serbia montenegro,SCG,16
Réunion,reunion,REU,10
Cayman Islands,cayman islands,CYM,7
Turks and Caicos Islands,turks and caicos islands,TCA,7
Guam,guam,GUM,6
Northern Mariana Islands,northern mariana islands,MNP,6
Guadeloupe,guadeloupe,GLP,6
Martinique,martinique,MTQ,5
"China, Macao Special Administrative Region",china macao special administrative region,MAC,4
Mayotte,mayotte,MYT,4
American Samoa,american samoa,ASM,4
Cook Islands,cook islands,COK,4
New Caledonia,new caledonia,NCL,3
United States Virgin Islands,united states virgin islands,VIR,3
Bermuda,bermuda,BMU,3
French Polynesia,french polynesia,PYF,3
British Virgin Islands,british virgin islands,VGB,2
French Guiana,french guiana,GUF,2
Tokelau,tokelau,TKL,1
Netherlands Antilles,netherlands antilles,ANT,1
Saint Helena,saint helena,SHN,1
Niue,niue,NIU,1
Anguilla,anguilla,AIA,1
Sint Maarten (Dutch part),sint maarten dutch part,SXM,1
Saint Barthélemy,saint barthelemy,BLM,1
Azores Islands,azores islands,AZO,1
Montserrat,montserrat,MSR,1
Wallis and Futuna Islands,wallis and futuna islands,WLF,1
Saint Martin (French Part),saint martin french part,MAF,1
Curaçao,curacao,CUW,1
