event_id,disaster_type,disaster_subtype,magnitude,magnitude_scale,start_year,time_split,anomaly_type,grouping_strategy,group_key
2002-9349-IND,Drought,Drought,560000.0,Km2,2002,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Drought | Km2
2001-9218-CHN,Drought,Drought,233000.0,Km2,2001,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Drought | Km2
2003-9064-CHN,Drought,Drought,500000.0,Km2,2003,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Drought | Km2
2019-0664-COG,Flood,Flood (General),585146.24,Km2,2019,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2016-0128-RUS,Flood,Flood (General),1834048.3,Km2,2016,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2016-0095-CHN,Flood,Flash flood,383223.81,Km2,2016,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2015-0498-URY,Flood,Flood (General),392899.19,Km2,2015,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2015-0317-IND,Flood,Riverine flood,629961.6,Km2,2015,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2013-0280-SDN,Flood,Riverine flood,645399.78,Km2,2013,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2012-0593-ARG,Flood,Riverine flood,377212.0,Km2,2012,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2004-0091-AUS,Flood,Riverine flood,1232000.0,Km2,2004,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2004-0164-RUS,Flood,Riverine flood,840000.0,Km2,2004,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2004-0457-CHN,Flood,Riverine flood,362800.0,Km2,2004,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2004-0626-IRN,Flood,Flash flood,436700.0,Km2,2004,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2005-0504-IND,Flood,Riverine flood,619200.0,Km2,2005,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0383-USA,Flood,Riverine flood,1217000.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0244-USA,Flood,Riverine flood,507800.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0261-SDN,Flood,Riverine flood,1591000.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0320-IND,Flood,Riverine flood,483900.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0403-TCD,Flood,Riverine flood,454800.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2008-0017-AUS,Flood,Riverine flood,649500.0,Km2,2008,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2011-0014-BRA,Flood,Riverine flood,587384.0,Km2,2011,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2011-0227-CHN,Flood,Riverine flood,431896.0,Km2,2011,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2002-0307-COL,Flood,Riverine flood,483000.0,Km2,2002,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2001-0227-RUS,Flood,Riverine flood,2857000.0,Km2,2001,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2003-0440-CHN,Flood,Riverine flood,471100.0,Km2,2003,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2006-0039-BOL,Flood,Riverine flood,955800.0,Km2,2006,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2006-0201-BRA,Flood,Riverine flood,1164000.0,Km2,2006,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0315-CHN,Flood,Riverine flood,812700.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2007-0419-NGA,Flood,Riverine flood,630100.0,Km2,2007,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2008-0125-BRA,Flood,Riverine flood,1120000.0,Km2,2008,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
2008-0243-CHN,Flood,Riverine flood,366860.0,Km2,2008,train,outside full-group Q1/Q3 +/- 3*IQR,disaster_type+magnitude_scale,Flood | Km2
