disaster_type,disaster_subtype,total_records,magnitude_nonmissing,magnitude_missing,magnitude_nonmissing_rate
Air,Air,453,0,453,0.0
Animal incident,Animal incident,1,0,1,0.0
Chemical spill,Chemical spill,23,2,21,0.08695652173913043
Collapse (Industrial),Collapse (Industrial),163,1,162,0.006134969325153374
Collapse (Miscellaneous),Collapse (Miscellaneous),170,0,170,0.0
Drought,Drought,424,23,401,0.054245283018867926
Earthquake,Ground movement,665,664,1,0.9984962406015038
Earthquake,Tsunami,33,32,1,0.9696969696969697
Epidemic,Bacterial disease,433,0,433,0.0
Epidemic,Infectious disease (General),81,0,81,0.0
Epidemic,Parasitic disease,18,0,18,0.0
Epidemic,Viral disease,362,20,342,0.055248618784530384
Explosion (Industrial),Explosion (Industrial),477,0,477,0.0
Explosion (Miscellaneous),Explosion (Miscellaneous),170,0,170,0.0
Extreme temperature,Cold wave,216,108,108,0.5
Extreme temperature,Heat wave,275,153,122,0.5563636363636364
Extreme temperature,Severe winter conditions,77,37,40,0.4805194805194805
Fire (Industrial),Fire (Industrial),115,0,115,0.0
Fire (Miscellaneous),Fire (Miscellaneous),461,0,461,0.0
Flood,Coastal flood,42,14,28,0.3333333333333333
Flood,Flash flood,763,253,510,0.3315858453473132
Flood,Flood (General),1436,172,1264,0.11977715877437325
Flood,Riverine flood,2032,959,1073,0.4719488188976378
Gas leak,Gas leak,36,0,36,0.0
Glacial lake outburst flood,Glacial lake outburst flood,8,0,8,0.0
Impact,Collision,1,0,1,0.0
Industrial accident (General),Industrial accident (General),102,0,102,0.0
Infestation,Locust infestation,27,0,27,0.0
Infestation,Worms infestation,2,0,2,0.0
Mass movement (dry),Avalanche (dry),1,0,1,0.0
Mass movement (dry),Landslide (dry),9,0,9,0.0
Mass movement (dry),Rockfall (dry),4,0,4,0.0
Mass movement (wet),Avalanche (wet),54,0,54,0.0
Mass movement (wet),Landslide (wet),397,0,397,0.0
Mass movement (wet),Mudslide,45,0,45,0.0
Mass movement (wet),Rockfall (wet),3,0,3,0.0
Mass movement (wet),Sudden Subsidence (wet),1,0,1,0.0
Miscellaneous accident (General),Miscellaneous accident (General),199,0,199,0.0
Oil spill,Oil spill,6,0,6,0.0
Poisoning,Poisoning,21,0,21,0.0
Radiation,Radiation,2,0,2,0.0
Rail,Rail,255,0,255,0.0
Road,Road,2254,0,2254,0.0
Storm,Blizzard/Winter storm,191,14,177,0.07329842931937172
Storm,Derecho,6,1,5,0.16666666666666666
Storm,Extra-tropical storm,157,55,102,0.3503184713375796
Storm,Hail,53,7,46,0.1320754716981132
Storm,Lightning/Thunderstorms,170,19,151,0.11176470588235295
Storm,Sand/Dust storm,20,2,18,0.1
Storm,Severe weather,309,45,264,0.14563106796116504
Storm,Storm (General),344,63,281,0.18313953488372092
Storm,Storm surge,10,1,9,0.1
Storm,Tornado,173,48,125,0.2774566473988439
Storm,Tropical cyclone,1444,611,833,0.4231301939058172
Volcanic activity,Ash fall,104,0,104,0.0
Volcanic activity,Lahar,1,0,1,0.0
Volcanic activity,Lava flow,11,0,11,0.0
Volcanic activity,Pyroclastic flow,5,0,5,0.0
Volcanic activity,Volcanic activity (General),12,0,12,0.0
Water,Water,1187,0,1187,0.0
Wildfire,Forest fire,194,76,118,0.3917525773195876
Wildfire,"Land fire (Brush, Bush, Pasture)",46,7,39,0.15217391304347827
Wildfire,Wildfire (General),104,5,99,0.04807692307692308
