indicator_code,event_year,match_status,match_reason,event_count,indicator_year_event_total,event_rate
NY.GDP.PCAP.PP.KD,2000,exact_t_minus_1,t_minus_1_available,846,869,0.9735327963176065
NY.GDP.PCAP.PP.KD,2000,missing_within_backtrack_window,no_value_in_permitted_historical_window,14,869,0.01611047180667434
NY.GDP.PCAP.PP.KD,2000,unsupported_country,no_value_in_permitted_historical_window,9,869,0.010356731875719217
NY.GDP.PCAP.PP.KD,2001,exact_t_minus_1,t_minus_1_available,728,752,0.9680851063829787
NY.GDP.PCAP.PP.KD,2001,missing_within_backtrack_window,no_value_in_permitted_historical_window,12,752,0.015957446808510637
NY.GDP.PCAP.PP.KD,2001,unsupported_country,no_value_in_permitted_historical_window,12,752,0.015957446808510637
NY.GDP.PCAP.PP.KD,2002,exact_t_minus_1,t_minus_1_available,819,846,0.9680851063829787
NY.GDP.PCAP.PP.KD,2002,missing_within_backtrack_window,no_value_in_permitted_historical_window,19,846,0.022458628841607566
NY.GDP.PCAP.PP.KD,2002,unsupported_country,no_value_in_permitted_historical_window,8,846,0.009456264775413711
NY.GDP.PCAP.PP.KD,2003,exact_t_minus_1,t_minus_1_available,700,719,0.9735744089012517
NY.GDP.PCAP.PP.KD,2003,missing_within_backtrack_window,no_value_in_permitted_historical_window,14,719,0.019471488178025034
NY.GDP.PCAP.PP.KD,2003,unsupported_country,no_value_in_permitted_historical_window,5,719,0.006954102920723227
NY.GDP.PCAP.PP.KD,2004,exact_t_minus_1,t_minus_1_available,720,752,0.9574468085106383
NY.GDP.PCAP.PP.KD,2004,missing_within_backtrack_window,no_value_in_permitted_historical_window,21,752,0.027925531914893616
NY.GDP.PCAP.PP.KD,2004,unsupported_country,no_value_in_permitted_historical_window,11,752,0.014627659574468085
NY.GDP.PCAP.PP.KD,2005,exact_t_minus_1,t_minus_1_available,819,853,0.9601406799531067
NY.GDP.PCAP.PP.KD,2005,missing_within_backtrack_window,no_value_in_permitted_historical_window,21,853,0.0246189917936694
NY.GDP.PCAP.PP.KD,2005,unsupported_country,no_value_in_permitted_historical_window,13,853,0.015240328253223915
NY.GDP.PCAP.PP.KD,2006,exact_t_minus_1,t_minus_1_available,738,758,0.9736147757255936
NY.GDP.PCAP.PP.KD,2006,missing_within_backtrack_window,no_value_in_permitted_historical_window,11,758,0.014511873350923483
NY.GDP.PCAP.PP.KD,2006,unsupported_country,no_value_in_permitted_historical_window,9,758,0.011873350923482849
NY.GDP.PCAP.PP.KD,2007,exact_t_minus_1,t_minus_1_available,696,723,0.9626556016597511
NY.GDP.PCAP.PP.KD,2007,missing_within_backtrack_window,no_value_in_permitted_historical_window,18,723,0.024896265560165973
NY.GDP.PCAP.PP.KD,2007,unsupported_country,no_value_in_permitted_historical_window,9,723,0.012448132780082987
NY.GDP.PCAP.PP.KD,2008,exact_t_minus_1,t_minus_1_available,626,649,0.9645608628659477
NY.GDP.PCAP.PP.KD,2008,missing_within_backtrack_window,no_value_in_permitted_historical_window,17,649,0.026194144838212634
NY.GDP.PCAP.PP.KD,2008,unsupported_country,no_value_in_permitted_historical_window,6,649,0.009244992295839754
NY.GDP.PCAP.PP.KD,2009,exact_t_minus_1,t_minus_1_available,606,619,0.9789983844911146
NY.GDP.PCAP.PP.KD,2009,missing_within_backtrack_window,no_value_in_permitted_historical_window,10,619,0.01615508885298869
NY.GDP.PCAP.PP.KD,2009,unsupported_country,no_value_in_permitted_historical_window,3,619,0.004846526655896607
NY.GDP.PCAP.PP.KD,2010,exact_t_minus_1,t_minus_1_available,644,668,0.9640718562874252
NY.GDP.PCAP.PP.KD,2010,missing_within_backtrack_window,no_value_in_permitted_historical_window,18,668,0.02694610778443114
NY.GDP.PCAP.PP.KD,2010,unsupported_country,no_value_in_permitted_historical_window,6,668,0.008982035928143712
NY.GDP.PCAP.PP.KD,2011,exact_t_minus_1,t_minus_1_available,581,597,0.9731993299832495
NY.GDP.PCAP.PP.KD,2011,missing_within_backtrack_window,no_value_in_permitted_historical_window,15,597,0.02512562814070352
NY.GDP.PCAP.PP.KD,2011,unsupported_country,no_value_in_permitted_historical_window,1,597,0.0016750418760469012
NY.GDP.PCAP.PP.KD,2012,exact_t_minus_1,t_minus_1_available,543,560,0.9696428571428571
NY.GDP.PCAP.PP.KD,2012,missing_within_backtrack_window,no_value_in_permitted_historical_window,11,560,0.019642857142857142
NY.GDP.PCAP.PP.KD,2012,unsupported_country,no_value_in_permitted_historical_window,6,560,0.010714285714285714
NY.GDP.PCAP.PP.KD,2013,exact_t_minus_1,t_minus_1_available,534,549,0.9726775956284153
NY.GDP.PCAP.PP.KD,2013,missing_within_backtrack_window,no_value_in_permitted_historical_window,10,549,0.018214936247723135
NY.GDP.PCAP.PP.KD,2013,unsupported_country,no_value_in_permitted_historical_window,5,549,0.009107468123861567
NY.GDP.PCAP.PP.KD,2014,exact_t_minus_1,t_minus_1_available,536,547,0.979890310786106
NY.GDP.PCAP.PP.KD,2014,missing_within_backtrack_window,no_value_in_permitted_historical_window,6,547,0.010968921389396709
NY.GDP.PCAP.PP.KD,2014,unsupported_country,no_value_in_permitted_historical_window,5,547,0.009140767824497258
NY.GDP.PCAP.PP.KD,2015,exact_t_minus_1,t_minus_1_available,582,601,0.9683860232945092
NY.GDP.PCAP.PP.KD,2015,missing_within_backtrack_window,no_value_in_permitted_historical_window,14,601,0.02329450915141431
NY.GDP.PCAP.PP.KD,2015,unsupported_country,no_value_in_permitted_historical_window,5,601,0.008319467554076539
NY.GDP.PCAP.PP.KD,2016,exact_t_minus_1,t_minus_1_available,515,534,0.9644194756554307
NY.GDP.PCAP.PP.KD,2016,missing_within_backtrack_window,no_value_in_permitted_historical_window,13,534,0.024344569288389514
NY.GDP.PCAP.PP.KD,2016,unsupported_country,no_value_in_permitted_historical_window,6,534,0.011235955056179775
NY.GDP.PCAP.PP.KD,2017,exact_t_minus_1,t_minus_1_available,526,544,0.9669117647058824
NY.GDP.PCAP.PP.KD,2017,missing_within_backtrack_window,no_value_in_permitted_historical_window,11,544,0.02022058823529412
