event_id,year
2000-0037-REU,2000
2000-0097-AUS,2000
2000-0107-MDG,2000
2000-0107-MOZ,2000
2000-0178-MDG,2000
2000-0178-MOZ,2000
2000-0211-BGD,2000
2000-0214-AUS,2000
2000-0229-BGD,2000
2000-0257-PHL,2000
2000-0396-PHL,2000
2000-0397-PHL,2000
2000-0447-JPN,2000
2000-0517-TWN,2000
2000-0518-VNM,2000
2000-0533-CHN,2000
2000-0539-THA,2000
2000-0550-KOR,2000
2000-0556-CHN,2000
2000-0557-CHN,2000
2000-0572-PRK,2000
2000-0576-JPN,2000
2000-0576-RUS,2000
2000-0582-VNM,2000
2000-0601-KOR,2000
2000-0605-CHN,2000
2000-0642-BLZ,2000
2000-0643-MEX,2000
2000-0644-NIC,2000
2000-0645-SLV,2000
2000-0652-USA,2000
2000-0706-PHL,2000
2000-0706-TWN,2000
2000-0713-BGD,2000
2000-0715-PHL,2000
2000-0785-IND,2000
2000-0788-PHL,2000
2000-0831-LKA,2000
2000-0843-AUS,2000
2001-0054-PHL,2001
2001-0093-VUT,2001
2001-0143-VUT,2001
2001-0198-BGD,2001
2001-0202-BGD,2001
2001-0242-USA,2001
2001-0292-CHN,2001
2001-0293-TWN,2001
2001-0318-VNM,2001
2001-0319-PHL,2001
2001-0322-CHN,2001
2001-0405-CHN,2001
2001-0405-TWN,2001
2001-0415-TWN,2001
2001-0419-CHN,2001
2001-0436-VNM,2001
2001-0454-JPN,2001
2001-0475-CHN,2001
2001-0488-MEX,2001
2001-0511-JPN,2001
2001-0522-TWN,2001
2001-0553-BLZ,2001
2001-0562-MEX,2001
2001-0570-DOM,2001
2001-0570-GTM,2001
2001-0570-MEX,2001
2001-0584-IND,2001
2001-0603-HND,2001
2001-0611-CYM,2001
2001-0611-HTI,2001
2001-0611-NIC,2001
2001-0612-CUB,2001
2001-0614-PHL,2001
2001-0615-JAM,2001
2001-0624-VNM,2001
2001-0659-COK,2001
2001-0671-BHS,2001
2001-0711-TON,2001
2001-0735-MEX,2001
2001-0758-PHL,2001
2001-0796-CHN,2001
2002-0004-MDG,2002
2002-0039-MUS,2002
