event_id,year,country_code,region,disaster_type,disaster_subtype,event_date,event_date_upper,date_granularity,is_severe_description_only,label_available_description_only,event_name,Location,start_year,start_month,start_day,end_year,end_month,end_day,emdat_magnitude,emdat_magnitude_scale
2000-0037-REU,2000,REU,Sub-Saharan Africa,Storm,Tropical cyclone,2000-01-30,2000-01-30,day,0,True,Connie,"Arrondissement du vent, Arrondissement sous le vent provinces",2000,1,30,2000,1,30,153,Kph
2000-0097-AUS,2000,AUS,Australia and New Zealand,Storm,Tropical cyclone,2000-02-27,2000-02-27,day,0,True,Steve,"Cairns, Tablelands districts (Queensland province), New South Wales province",2000,2,27,2000,3,13,120,Kph
2000-0107-MDG,2000,MDG,Sub-Saharan Africa,Storm,Tropical cyclone,2000-02-17,2000-02-17,day,1,True,"Eline, Gloria","Marolambo, Antanambao Manampontsy, Mahanoro, Vatomandry, Brickaville districts (Atsinanana province), Ambositra district (Amoron I Mania province), Antananarivo Avaradrano, Andramasina, Manjakandriana districts (Analamanga province), Ambatolampy, Antsirabe II, Antanifotsy districts (Vakinankaratra province), Antalaha, Sambava, Andapa, Vohemar districts (Sava province), Morondava, Belo Sur Tsiribihina, Mahabo districts (Menabe province), Morombe district (Atsimo Andrefana province), Maroantsetra district (Analanjirofo province)",2000,2,17,2000,3,11,,Kph
2000-0107-MOZ,2000,MOZ,Sub-Saharan Africa,Storm,Tropical cyclone,2000-02-18,2000-02-18,day,0,True,"Eline, Gloria","Cabo Delgado, Gaza, Inhambane, Manica, Nampula, Niassa, Sofala, Tete, Zambezia, Maputo, Lago niassa provinces",2000,2,18,2000,2,23,,Kph
2000-0178-MDG,2000,MDG,Sub-Saharan Africa,Storm,Tropical cyclone,2000-04-02,2000-04-02,day,0,True,Hudah,"Antalaha, Sambava, Andapa districts (Sava province), Maroantsetra district (Analanjirofo province), Bealanana district (Sofia province)",2000,4,2,2000,4,2,300,Kph
2000-0178-MOZ,2000,MOZ,Sub-Saharan Africa,Storm,Tropical cyclone,2000-04-02,2000-04-02,day,0,True,Hudah,"Angoche, Moma, Mogincual districts (Nampula province)",2000,4,2,2000,4,2,,Kph
2000-0211-BGD,2000,BGD,Southern Asia,Storm,Tropical cyclone,2000-04-21,2000-04-21,day,0,True,,"Alpara, Netrokona Sadar, Kendua, Purbadhala areas (Netrakona district, Dhaka province), Rangpur district (Rangpur province)",2000,4,21,2000,4,21,120,Kph
2000-0214-AUS,2000,AUS,Australia and New Zealand,Storm,Tropical cyclone,2000-04-03,2000-04-03,day,0,False,Tessi,Townsville district (Queensland province),2000,4,3,2000,4,3,130,Kph
2000-0229-BGD,2000,BGD,Southern Asia,Storm,Tropical cyclone,2000-04-11,2000-04-11,day,0,False,,"Maulvibazar district (Sylhet province), Netrakona district (Dhaka province)",2000,4,11,2000,4,11,80,Kph
2000-0257-PHL,2000,PHL,South-eastern Asia,Storm,Tropical cyclone,2000-05-18,2000-05-18,day,0,True,Biring,"National Capital region (NCR), Region III (Central Luzon) provinces",2000,5,18,2000,5,18,,Kph
2000-0396-PHL,2000,PHL,South-eastern Asia,Storm,Tropical cyclone,2000-07-05,2000-07-05,day,0,True,Kirogi,National Capital region (NCR) province,2000,7,5,2000,7,5,185,Kph
2000-0397-PHL,2000,PHL,South-eastern Asia,Storm,Tropical cyclone,2000-07-07,2000-07-07,day,0,True,Kai-Tak (Edeng),"Caloocan, Manioma, Quezon cities (Metropolitan Manila district, National Capital region (NCR) province), Mindoro Oriental district (Region IV (Southern Tagalog) province), Cavite, Rizal districts (Region IV-A (Calabarzon) province), Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Region I (Ilocos region), Region III (Central Luzon) provinces",2000,7,7,2000,7,7,200,Kph
2000-0447-JPN,2000,JPN,Eastern Asia,Storm,Tropical cyclone,2000-07-08,2000-07-08,day,0,True,Kirogi,Tookyoo province,2000,7,8,2000,7,9,126,Kph
2000-0517-TWN,2000,TWN,Eastern Asia,Storm,Tropical cyclone,2000-08-22,2000-08-22,day,0,True,Bilis,Taiwan Sheng province,2000,8,22,2000,8,23,,Kph
2000-0518-VNM,2000,VNM,South-eastern Asia,Storm,Tropical cyclone,2000-08-20,2000-08-20,day,0,True,Kaemi,"Quang Binh, Quang Tri, Thua Thien - Hue, Quang Nam, Quang Ngai, Binh Dinh, Da Nang City provinces",2000,8,20,2000,8,20,,Kph
2000-0533-CHN,2000,CHN,Eastern Asia,Storm,Tropical cyclone,2000-08-23,2000-08-23,day,0,True,Bilis,"Leqing Shi area (Wenzhou district, Zhejiang Sheng province), Fuzhou district (Fujian Sheng province)",2000,8,23,2000,8,23,,Kph
2000-0539-THA,2000,THA,South-eastern Asia,Storm,Tropical cyclone,2000-08-21,2000-08-21,day,0,True,Kaemi,"Tha Tum, Chom Phra, Samrong Thap, Sikhoraphum, Sangkha, Muang Surin districts (Surin province), Ubon Ratchathani province",2000,8,21,2000,8,21,,Kph
2000-0550-KOR,2000,KOR,Eastern Asia,Storm,Tropical cyclone,2000-08-31,2000-08-31,day,0,True,Prapiroon (Typhoon n°12),"Chollabuk-do, Chungchongnam-do, Cheju-do provinces",2000,8,31,2000,8,31,209,Kph
2000-0556-CHN,2000,CHN,Eastern Asia,Storm,Tropical cyclone,2000-08-01,2000-08-31,month,0,True,Prapiroon,"Xiangshui Xian area (Yancheng district, Jiangsu Sheng province)",2000,8,,2000,8,,,Kph
2000-0557-CHN,2000,CHN,Eastern Asia,Storm,Tropical cyclone,2000-09-01,2000-09-01,day,0,True,Maria,"Hunan Sheng, Guangdong Sheng provinces",2000,9,1,2000,9,6,160,Kph
2000-0572-PRK,2000,PRK,Eastern Asia,Storm,Tropical cyclone,2000-08-31,2000-08-31,day,0,True,"Prapiroon ""12""","Kangwon-do, Hamgyong-bukto, Hamgyong-namdo, Yanggang-do, P'yongan-bukto, Hwanghae-bukto, Kaesong-si provinces",2000,8,31,2000,9,4,,Kph
2000-0576-JPN,2000,JPN,Eastern Asia,Storm,Tropical cyclone,2000-09-11,2000-09-11,day,0,True,Saomai,"Aiti, Mie, Gifu provinces",2000,9,11,2000,9,14,160,Kph
2000-0576-RUS,2000,RUS,Eastern Europe,Storm,Tropical cyclone,2000-09-13,2000-09-13,day,0,True,Saomai,"Primorskiy Kray, Khabarovskiy Kray, Sakhalinskaya Oblast, Yevreyskaya A. Oblast provinces",2000,9,13,2000,9,19,,Kph
2000-0582-VNM,2000,VNM,South-eastern Asia,Storm,Tropical cyclone,2000-09-10,2000-09-10,day,0,True,Wukong,"Thach Ha, Cam Xuyen, Ky Anh districts (Ha Tinh province)",2000,9,10,2000,9,10,120,Kph
2000-0601-KOR,2000,KOR,Eastern Asia,Storm,Tropical cyclone,2000-09-16,2000-09-16,day,0,True,Saomai,"Kyongsangbuk-do, Kyongsangnam-do provinces",2000,9,16,2000,9,16,,Kph
2000-0605-CHN,2000,CHN,Eastern Asia,Storm,Tropical cyclone,2000-09-09,2000-09-09,day,0,True,Wukong,Hainan Sheng province,2000,9,9,2000,9,9,,Kph
2000-0642-BLZ,2000,BLZ,Latin America and the Caribbean,Storm,Tropical cyclone,2000-09-30,2000-09-30,day,0,True,Keith,"San Pedro and Belize cities, Cay Caulker and Ambergris Caye islands (Belize province), Corozal, Cayo, Orange Walk provinces",2000,9,30,2000,10,3,215,Kph
2000-0643-MEX,2000,MEX,Latin America and the Caribbean,Storm,Tropical cyclone,2000-09-29,2000-09-29,day,0,True,Keith,"Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces",2000,9,29,2000,10,3,150,Kph
2000-0644-NIC,2000,NIC,Latin America and the Caribbean,Storm,Tropical cyclone,2000-09-29,2000-09-29,day,0,True,Keith,"Léon, Chinandega, Managua, Granada, Rivas provinces",2000,9,29,2000,10,3,,Kph
2000-0645-SLV,2000,SLV,Latin America and the Caribbean,Storm,Tropical cyclone,2000-10-01,2000-10-01,day,0,True,Keith,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",2000,10,1,2000,10,1,,Kph
2000-0652-USA,2000,USA,Northern America,Storm,Tropical cyclone,2000-10-04,2000-10-04,day,0,True,Leslie,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",2000,10,4,2000,10,4,,Kph
2000-0706-PHL,2000,PHL,South-eastern Asia,Storm,Tropical cyclone,2000-10-28,2000-10-28,day,1,True,Xangsane (Reming),"Cavite district (Region IV-A (Calabarzon) province), Sorsogon, Catanduanes, Albay districts (Region V (Bicol region) province), Metropolitan Manila district (National Capital region (NCR) province), Samar districts (Region VIII (Eastern Visayas) province)",2000,10,28,2000,10,31,140,Kph
2000-0706-TWN,2000,TWN,Eastern Asia,Storm,Tropical cyclone,2000-11-01,2000-11-01,day,0,True,Xangsane (Reming),"Taipei, Pingtung, Kaohsiung areas (Taiwan Sheng province)",2000,11,1,2000,11,4,120,Kph
2000-0713-BGD,2000,BGD,Southern Asia,Storm,Tropical cyclone,2000-10-28,2000-10-28,day,0,True,,"Barisal, Barguna, Jhalokati, Bhola, Pirojpur districts (Barisal province), Khulna district (Khulna province), Noakhali, Lakshmipur, Cox's Bazar, Chandpur districts (Chittagong province), Dhaka, Mymensingh, Shariatpur districts (Dhaka province)",2000,10,28,2000,10,28,100,Kph
2000-0715-PHL,2000,PHL,South-eastern Asia,Storm,Tropical cyclone,2000-11-03,2000-11-03,day,0,True,Bebinca (Seniang),"Metropolitan Manila district (National Capital region (NCR) province), Rizal, Laguna districts (Region IV-A (Calabarzon) province), Cagayan, Nueva Vizcaya districts (Region II (Cagayan Valley) province)",2000,11,3,2000,11,5,120,Kph
2000-0785-IND,2000,IND,Southern Asia,Storm,Tropical cyclone,2000-11-29,2000-11-29,day,0,False,03B,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",2000,11,29,2000,11,29,120,Kph
2000-0788-PHL,2000,PHL,South-eastern Asia,Storm,Tropical cyclone,2000-11-30,2000-11-30,day,0,True,Rumbia (Toyang),"Autonomous region in Muslim Mindanao (ARMM), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces Central Philippines",2000,11,30,2000,12,3,135,Kph
2000-0831-LKA,2000,LKA,Southern Asia,Storm,Tropical cyclone,2000-12-24,2000-12-24,day,0,True,04B,"Ampara, Batticaloa, Trincomalee districts (Eastern province), Anuradhapura, Polonnaruwa districts (North Central province), Mannar district (Northern province)",2000,12,24,2000,12,28,150,Kph
2000-0843-AUS,2000,AUS,Australia and New Zealand,Storm,Tropical cyclone,2000-12-07,2000-12-07,day,0,False,Sam,"Bidyadanga area (Broome district, Western Australia province)",2000,12,7,2000,12,7,280,Kph
2001-0054-PHL,2001,PHL,South-eastern Asia,Storm,Tropical cyclone,2001-02-17,2001-02-17,day,0,True,Auring,"Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",2001,2,17,2001,2,17,45,Kph
2001-0093-VUT,2001,VUT,Melanesia,Storm,Tropical cyclone,2001-02-28,2001-02-28,day,0,True,Paula,"Malukulan Ambrym, Paama, Lopevi islands (Malampa province), Efate, Shepherd islands (Shefa province)",2001,2,28,2001,2,28,200,Kph
2001-0143-VUT,2001,VUT,Melanesia,Storm,Tropical cyclone,2001-04-07,2001-04-07,day,0,True,Sose,"Santo island (Sanma province), Malekula island (Malampa province), Ambae island (Penama province), Shepherd, Efate island (Shefa province), Erromango, Tanna, Anatom island (Tafea province),",2001,4,7,2001,4,7,100,Kph
2001-0198-BGD,2001,BGD,Southern Asia,Storm,Tropical cyclone,2001-05-11,2001-05-11,day,0,True,,"Mymensingh, Netrakona, Tangail, Gopalganj districts (Dhaka province), Naogaon district (Rajshahi province), Maulvibazar district (Sylhet province), Chuadanga, Jhenaidah, Meherpur districts (Khulna province), Gaibandha district (Rangpur province), Patuakhali district (Barisal province), Noakhali district (Chittagong province)",2001,5,11,2001,5,11,100,Kph
2001-0202-BGD,2001,BGD,Southern Asia,Storm,Tropical cyclone,2001-04-01,2001-04-01,day,1,True,,"Patuakhali district (Barisal province), Satkhira district (Khulna province)",2001,4,1,2001,4,1,,Kph
2001-0242-USA,2001,USA,Northern America,Storm,Tropical cyclone,2001-06-05,2001-06-05,day,0,True,Allison,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",2001,6,5,2001,6,17,,Kph
2001-0292-CHN,2001,CHN,Eastern Asia,Storm,Tropical cyclone,2001-06-23,2001-06-23,day,1,True,Chebi,"Fujian Sheng, Zhejiang Sheng provinces",2001,6,23,2001,6,25,,Kph
2001-0293-TWN,2001,TWN,Eastern Asia,Storm,Tropical cyclone,2001-06-24,2001-06-24,day,0,True,Chebi,Taiwan Sheng province,2001,6,24,2001,6,25,225,Kph
2001-0318-VNM,2001,VNM,South-eastern Asia,Storm,Tropical cyclone,2001-07-04,2001-07-04,day,0,True,Durian,"Thai Nguyen, Tuyen Quang, Vinh Phuc provinces",2001,7,4,2001,7,4,,Kph
