feature,gain,gain_normalized,split,split_normalized
country_code,94820.79138460942,0.2356267812287721,5237,0.0776657274210292
disaster_subtype,89775.32994573563,0.2230889630847159,4106,0.0608927776953878
historical_frequency,63315.93438295985,0.1573381702609423,19174,0.2843541450393
hdi,48612.39239222623,0.1208003158373713,14935,0.2214889515052647
disaster_type,33822.85662223399,0.0840487694891018,1573,0.0233278955954323
year,32864.57089336685,0.081667458613151,10486,0.1555094171733649
event_month,29934.54035283299,0.0743864218796815,10326,0.1531365860892777
region,7082.230496823788,0.0175991272749248,950,0.0140886845617677
date_granularity,1696.590560361743,0.004215975915869,509,0.0075485688862524
date_imputed,443.3354889303446,0.0011016751994552,115,0.0017054723416876
hdi_missing,50.84215819835663,0.0001263412160146,19,0.0002817736912353
month_missing,0.0,0.0,0,0.0
