group_field,group_value,n,errors,error_rate,severe_underestimates
year,2022,471,160,0.33970276008492567,34
year,2023,477,152,0.31865828092243187,32
disaster_type,Air,11,3,0.2727272727272727,1
disaster_type,Collapse (Industrial),11,0,0.0,0
disaster_type,Collapse (Miscellaneous),8,2,0.25,1
disaster_type,Drought,4,3,0.75,3
disaster_type,Earthquake,43,21,0.4883720930232558,6
disaster_type,Epidemic,31,21,0.6774193548387096,5
disaster_type,Explosion (Industrial),17,1,0.058823529411764705,0
disaster_type,Explosion (Miscellaneous),7,1,0.14285714285714285,0
disaster_type,Extreme temperature,79,53,0.6708860759493671,25
disaster_type,Fire (Industrial),5,0,0.0,0
disaster_type,Fire (Miscellaneous),33,2,0.06060606060606061,1
disaster_type,Flood,242,120,0.49586776859504134,10
disaster_type,Gas leak,2,1,0.5,0
disaster_type,Glacial lake outburst flood,2,2,1.0,1
disaster_type,Industrial accident (General),4,1,0.25,1
disaster_type,Mass movement (wet),39,11,0.28205128205128205,1
disaster_type,Miscellaneous accident (General),18,2,0.1111111111111111,2
disaster_type,Rail,4,2,0.5,1
disaster_type,Road,103,0,0.0,0
disaster_type,Storm,188,48,0.2553191489361702,6
disaster_type,Volcanic activity,3,1,0.3333333333333333,0
disaster_type,Water,75,7,0.09333333333333334,1
disaster_type,Wildfire,19,10,0.5263157894736842,1
region,Australia and New Zealand,10,3,0.3,0
region,Central Asia,4,3,0.75,0
region,Eastern Asia,63,18,0.2857142857142857,4
region,Eastern Europe,39,8,0.20512820512820512,4
region,Latin America and the Caribbean,153,43,0.28104575163398693,3
region,Melanesia,3,0,0.0,0
region,Micronesia,1,0,0.0,0
region,Northern Africa,39,5,0.1282051282051282,3
region,Northern America,55,16,0.2909090909090909,4
region,Northern Europe,23,13,0.5652173913043478,6
region,Polynesia,1,0,0.0,0
region,South-eastern Asia,106,30,0.2830188679245283,5
region,Southern Asia,120,41,0.3416666666666667,3
region,Southern Europe,54,26,0.48148148148148145,12
region,Sub-Saharan Africa,199,85,0.4271356783919598,14
region,Western Asia,43,12,0.27906976744186046,6
region,Western Europe,35,9,0.2571428571428571,2
hdi_missing,0,938,310,0.3304904051172708,66
hdi_missing,1,10,2,0.2,0
has_unknown_category,False,947,311,0.32840549102428723,66
has_unknown_category,True,1,1,1.0,0
