feature,gain,gain_normalized
country_code,94820.79138460942,0.23562678122877212
disaster_subtype,89775.32994573563,0.22308896308471596
historical_frequency,63315.93438295985,0.15733817026094235
hdi,48612.39239222623,0.12080031583737133
disaster_type,33822.85662223399,0.08404876948910188
year,32864.57089336685,0.08166745861315108
event_month,29934.54035283299,0.07438642187968156
region,7082.230496823788,0.01759912727492483
date_granularity,1696.590560361743,0.004215975915869045
date_imputed,443.3354889303446,0.0011016751994552161
hdi_missing,50.84215819835663,0.00012634121601464788
month_missing,0.0,0.0
