original_field,importance,validation_permutation_mean,validation_permutation_std
disaster_type,0.2525200156293119,0.11955491244019045,0.02023587740377378
disaster_subtype,0.21469466888345703,0.004525188285412529,0.008514203682208753
hdi,0.1666934557803754,0.03671831821776169,0.02380129748784136
historical_frequency,0.10398877995032087,0.08244710297790867,0.007750606461334441
country_code,0.07687887118217746,0.0021411518220013416,0.0014405663683461614
region,0.0607985961871427,0.0642804182289872,0.01808960184645291
event_month,0.05651413063454072,0.02503083497391103,0.01863197037538093
year,0.05592164528192312,0.0,0.0
date_granularity,0.006653482212093109,0.00020180902493636133,0.00040361804987272266
date_imputed,0.002833414594965864,0.00040361804987272266,0.0004943291365826917
hdi_missing,0.002495283731180157,0.0,0.0
month_missing,7.655932511679276e-06,0.0,0.0
