analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
year_summary,2022,471,169,0.35881104033970274,0.5915176890486421,0.5168825298994791,
year_summary,2023,477,164,0.3438155136268344,0.5893088111075916,0.5317717767221167,
disaster_type_summary,Air,11,6,0.5454545454545454,0.25,0.15625,
disaster_type_summary,Collapse (Industrial),11,0,0.0,1.0,0.25,
disaster_type_summary,Collapse (Miscellaneous),8,3,0.375,0.2777777777777778,0.19230769230769232,
disaster_type_summary,Drought,4,3,0.75,0.3333333333333333,0.25,
disaster_type_summary,Earthquake,43,19,0.4418604651162791,0.2222222222222222,0.19047619047619047,
disaster_type_summary,Epidemic,31,20,0.6451612903225806,0.33333333333333337,0.1970588235294118,
disaster_type_summary,Explosion (Industrial),17,4,0.23529411764705882,0.40625,0.21666666666666667,
disaster_type_summary,Explosion (Miscellaneous),7,1,0.14285714285714285,0.8571428571428571,0.23076923076923078,
disaster_type_summary,Extreme temperature,79,49,0.620253164556962,0.43472222222222223,0.37753623188405794,
disaster_type_summary,Fire (Industrial),5,1,0.2,0.8,0.2222222222222222,
disaster_type_summary,Fire (Miscellaneous),33,8,0.24242424242424243,0.26881720430107525,0.21551724137931033,
disaster_type_summary,Flood,242,123,0.5082644628099173,0.48417207792207795,0.37381011652856316,
disaster_type_summary,Gas leak,2,0,0.0,1.0,0.25,
disaster_type_summary,Glacial lake outburst flood,2,2,1.0,0.0,0.0,
disaster_type_summary,Industrial accident (General),4,1,0.25,0.8333333333333333,0.45,
disaster_type_summary,Mass movement (wet),39,17,0.4358974358974359,0.3361111111111111,0.30092592592592593,
disaster_type_summary,Miscellaneous accident (General),18,7,0.3888888888888889,0.34375,0.19642857142857142,
disaster_type_summary,Rail,4,2,0.5,0.3333333333333333,0.16666666666666666,
disaster_type_summary,Road,103,0,0.0,1.0,0.25,
disaster_type_summary,Storm,188,52,0.2765957446808511,0.31707393483709273,0.2913766257556329,
disaster_type_summary,Volcanic activity,3,2,0.6666666666666666,0.5,0.125,
disaster_type_summary,Water,75,3,0.04,0.3333333333333333,0.24489795918367346,
disaster_type_summary,Wildfire,19,10,0.5263157894736842,0.3,0.16071428571428573,
region_summary,Australia and New Zealand,10,3,0.3,0.7,0.3351648351648352,
region_summary,Central Asia,4,3,0.75,0.25,0.1,
region_summary,Eastern Asia,63,17,0.2698412698412698,0.5358293075684379,0.39652590595986825,
region_summary,Eastern Europe,39,14,0.358974358974359,0.6428571428571428,0.5099431818181819,
region_summary,Latin America and the Caribbean,153,43,0.28104575163398693,0.6402110420199736,0.505126915338183,
region_summary,Melanesia,3,0,0.0,1.0,0.25,
region_summary,Micronesia,1,0,0.0,1.0,0.25,
region_summary,Northern Africa,39,5,0.1282051282051282,0.4852941176470588,0.35353535353535354,
region_summary,Northern America,55,16,0.2909090909090909,0.43137254901960786,0.3184556407447974,
