expanded_feature,importance,original_field,rank
hdi__hdi,0.1666934557803754,hdi,1
numeric__historical_frequency,0.10398877995032087,historical_frequency,2
categorical__disaster_subtype_Road,0.0744649852825343,disaster_subtype,3
categorical__disaster_type_Road,0.06503400028202339,disaster_type,4
categorical__disaster_subtype_Heat wave,0.0636935204967409,disaster_subtype,5
numeric__event_month,0.05651413063454072,event_month,6
numeric__year,0.05592164528192312,year,7
categorical__disaster_type_Flood,0.04216532792644211,disaster_type,8
categorical__disaster_type_Earthquake,0.04023971168428385,disaster_type,9
categorical__disaster_type_Storm,0.03433920106506466,disaster_type,10
categorical__disaster_type_Epidemic,0.023909488187507336,disaster_type,11
categorical__region_Southern Asia,0.02361375153470149,region,12
categorical__disaster_type_Extreme temperature,0.017444593077144795,disaster_type,13
categorical__disaster_subtype_Tsunami,0.012267998138942929,disaster_subtype,14
categorical__disaster_type_Water,0.011771260817958094,disaster_type,15
categorical__disaster_subtype_Ground movement,0.011270015036758504,disaster_subtype,16
categorical__disaster_subtype_Water,0.010492647062975667,disaster_subtype,17
categorical__region_Sub-Saharan Africa,0.009018629929427603,region,18
categorical__region_Eastern Asia,0.0089728919377569,region,19
categorical__country_code_BFA,0.008605870774583671,country_code,20
categorical__disaster_subtype_Tropical cyclone,0.00842333684386185,disaster_subtype,21
categorical__country_code_HTI,0.007171290417349957,country_code,22
categorical__country_code_PHL,0.007106993050417719,country_code,23
categorical__country_code_CHN,0.005906128401447982,country_code,24
categorical__country_code_IND,0.005891165805248894,country_code,25
categorical__disaster_subtype_Viral disease,0.005745658345499262,disaster_subtype,26
categorical__region_South-eastern Asia,0.0052983693316053385,region,27
categorical__disaster_type_Wildfire,0.00522036815545712,disaster_type,28
categorical__disaster_subtype_Air,0.0046895481323438164,disaster_subtype,29
categorical__disaster_type_Air,0.004496735933371141,disaster_type,30
