model_id,split,class,precision,recall,f1,support
Dummy_most_frequent,validation,Low,0.0,0.0,0.0,322
Dummy_most_frequent,validation,Moderate,0.5385572139303483,1.0,0.7000808407437349,433
Dummy_most_frequent,validation,High,0.0,0.0,0.0,42
Dummy_most_frequent,validation,Extreme,0.0,0.0,0.0,7
Dummy_prior,validation,Low,0.0,0.0,0.0,322
Dummy_prior,validation,Moderate,0.5385572139303483,1.0,0.7000808407437349,433
Dummy_prior,validation,High,0.0,0.0,0.0,42
Dummy_prior,validation,Extreme,0.0,0.0,0.0,7
RF-V2_C09,train,Low,0.5594785442694188,0.836038961038961,0.6703547022453629,2464
RF-V2_C09,train,Moderate,0.9597218892351954,0.5381099610162656,0.6895779500430663,7439
RF-V2_C09,train,High,0.21755162241887904,0.7365792759051186,0.3358952462282949,801
RF-V2_C09,train,Extreme,0.3665158371040724,0.9878048780487805,0.5346534653465347,82
RF-V2_C09,validation,Low,0.6614699331848553,0.922360248447205,0.7704280155642024,322
RF-V2_C09,validation,Moderate,0.9073359073359073,0.5427251732101617,0.6791907514450867,433
RF-V2_C09,validation,High,0.20238095238095238,0.40476190476190477,0.2698412698412698,42
RF-V2_C09,validation,Extreme,0.16666666666666666,0.2857142857142857,0.21052631578947367,7
RF-V2_C09,development_train,Low,0.5709763817871926,0.8417085427135679,0.6804004062091977,2786
RF-V2_C09,development_train,Moderate,0.9554168524297816,0.5444613821138211,0.6936397475319631,7872
RF-V2_C09,development_train,High,0.21739130434782608,0.7058125741399762,0.3324022346368715,843
RF-V2_C09,development_train,Extreme,0.33076923076923076,0.9662921348314607,0.49283667621776506,89
RF-V2_C09,test,Low,0.6179775280898876,0.9016393442622951,0.7333333333333333,305
RF-V2_C09,test,Moderate,0.9356913183279743,0.5553435114503816,0.6970059880239521,524
RF-V2_C09,test,High,0.23880597014925373,0.367816091954023,0.2895927601809955,87
RF-V2_C09,test,Extreme,0.29310344827586204,0.53125,0.37777777777777777,32
