event_id,year,true_label,fold,predicted_label,probability_Low,probability_Moderate,probability_Severe,dataset,country_code,region,disaster_type,disaster_subtype,date_granularity,date_imputed,historical_frequency,hdi,Location,magnitude_scale,event_month,hdi_missing,month_missing,magnitude,magnitude_missing,magnitude_group,magnitude_group_unknown,magnitude_robust_z,max_probability,low_minus_severe,moderate_minus_severe
2014-0001-TON,2014,Low,1,Low,0.71194709777891985,0.1812181816463255,0.1068347205747546,OOF,TON,Polynesia,Storm,Tropical cyclone,day,0,5,0.73999999999999999,"Mo'unga'one, Ha'ano, Foa, Lifuka, Lofanga, Uiha islands (Ha'apai island group, Tonga province), Vava'u island group (Tonga province)",Kph,1,0,0,270,0,Storm | Kph,0,1.5,0.71194709777891985,0.60511237720416522,0.0743834610715709
2014-0002-BRA,2014,Moderate,1,Low,0.64854671368242955,0.20396892856472429,0.1474843577528458,OOF,BRA,Latin America and the Caribbean,Flood,Flash flood,day,0,145,0.76500000000000001,"Itaoca, Apiai districts (Sao Paulo province)",Km2,1,0,0,,1,Flood | Km2,0,,0.64854671368242955,0.5010623559295837,0.056484570811878493
2014-0004-AUS,2014,Low,1,Low,0.82941150931005181,0.1035190058622991,0.0670694848276496,OOF,AUS,Australia and New Zealand,Wildfire,"Land fire (Brush, Bush, Pasture)",day,0,88,0.93700000000000006,"Kalamunda (S), Mundaring (S) districts (Perth Hills region, Western Australia province)",Km2,1,0,0,,1,Wildfire | Km2,0,,0.82941150931005181,0.76234202448240218,0.036449521034649504
2014-0005-NGA,2014,Moderate,1,Moderate,0.00073419176699910001,0.99894403483086602,0.0003217734021349,OOF,NGA,Sub-Saharan Africa,Road,Road,day,0,330,0.52400000000000002,Lagos,,1,0,0,,1,UNKNOWN,1,,0.99894403483086602,0.0004124183648642,0.99862226142873112
2014-0006-CHN,2014,Moderate,1,Moderate,0.054261474513255699,0.7249593727069964,0.22077915277974791,OOF,CHN,Eastern Asia,Fire (Industrial),Fire (Industrial),day,0,992,0.74199999999999999,Taizhou (Zhejiang province),m3,1,0,0,,1,UNKNOWN,1,,0.7249593727069964,-0.16651767826649222,0.50418021992724849
2014-0008-ESP,2014,Low,1,Low,0.86315177418323874,0.1077212725205266,0.029126953296234701,OOF,ESP,Southern Europe,Storm,Storm (General),day,0,58,0.89000000000000001,Galicia province,Kph,1,0,0,,1,Storm | Kph,0,,0.86315177418323874,0.83402482088700403,0.0785943192242919
2014-0008-FRA,2014,Low,1,Low,0.86316502509869797,0.1058636211122658,0.030971353789036499,OOF,FRA,Western Europe,Storm,Storm (General),day,0,68,0.90000000000000002,"Biarritz city (Pyrenees-Atlantique district, Aquitaine province)",Kph,1,0,0,,1,Storm | Kph,0,,0.86316502509869797,0.83219367130966149,0.074892267323229303
2014-0009-USA,2014,Moderate,1,Low,0.47252540700295981,0.27093589797535422,0.2565386950216863,OOF,USA,Northern America,Extreme temperature,Cold wave,day,0,399,0.92600000000000005,"New York, Minnesota, Georgia, Maryland, Alaska, Alabama, Mississippi, Louisiana, North Carolina, South Carolina, Ohio, Indiana, Illinois, Pennsylvania, Michigan, New Jersey, Virginia, Kentucky, Missouri provinces",°C,1,0,0,-37,0,Cold wave | °C,0,-0.61224489795918369,0.47252540700295981,0.2159867119812735,0.01439720295366792
2014-0010-AUS,2014,Severe,1,Severe,0.2393870796004926,0.17002922468458409,0.59058369571492275,OOF,AUS,Australia and New Zealand,Extreme temperature,Heat wave,day,0,88,0.93700000000000006,"Western Australia, Victoria provinces",°C,1,0,0,52,0,Heat wave | °C,0,1.2857142857142858,0.59058369571492275,-0.35119661611443015,-0.42055447103033866
2014-0013-DZA,2014,Moderate,1,Moderate,0,1,0,OOF,DZA,Northern Africa,Road,Road,day,0,63,0.73199999999999998,Between Touggourt and Ouargla,,1,0,0,,1,UNKNOWN,1,,1,0,1
2014-0014-CHN,2014,Moderate,1,Moderate,0.056009144549644903,0.70145287469568118,0.2425379807546737,OOF,CHN,Eastern Asia,Miscellaneous accident (General),Miscellaneous accident (General),day,0,990,0.74199999999999999,Ningxia region,,1,0,0,,1,UNKNOWN,1,,0.70145287469568118,-0.1865288362050288,0.45891489394100748
2014-0015-IND,2014,Moderate,1,Moderate,0.00078617139677230002,0.99921382860322761,0,OOF,IND,Southern Asia,Road,Road,day,0,500,0.625,Thane district (Maharashtra state),,1,0,0,,1,UNKNOWN,1,,0.99921382860322761,0.00078617139677230002,0.99921382860322761
2014-0016-REU,2014,Low,1,Low,0.75172903934565127,0.14540057420552049,0.1028703864488278,OOF,REU,Sub-Saharan Africa,Storm,Tropical cyclone,day,0,4,,"Arrondissement du vent, Arrondissement sous le vent provinces",Kph,1,1,0,151,0,Storm | Kph,0,0.012500000000000001,0.75172903934565127,0.64885865289682343,0.042530187756692692
2014-0017-PAK,2014,Moderate,1,Moderate,0,1,0,OOF,PAK,Southern Asia,Road,Road,day,0,173,0.52200000000000002,Near Nawasbshah,,1,0,0,,1,UNKNOWN,1,,1,0,1
2014-0018-IDN,2014,Moderate,1,Low,0.60218700171300732,0.27115263373235032,0.1266603645546413,OOF,IDN,South-eastern Asia,Flood,Riverine flood,day,0,319,0.69299999999999995,"Kota Manado, Minahasa Utara, Kota Tomohon, Minahasa, Minahasa Selatan, Kepulauan-sangihe districts (Sulawesi Utara province)",Km2,1,0,0,,1,Flood | Km2,0,,0.60218700171300732,0.47552663715836602,0.14449226917770902
2014-0020-PHL,2014,Moderate,1,Low,0.68735799765434458,0.2086070745013559,0.1040349278442996,OOF,PHL,South-eastern Asia,Storm,Tropical cyclone,day,0,292,0.68899999999999995,"North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Autonomous region in Muslim Mindanao (ARMM), Region X (Northern Mindanao), Region XI (Davao Region), Region XIII (Caraga) provinces",Kph,1,0,0,,1,Storm | Kph,0,,0.68735799765434458,0.583323069810045,0.1045721466570563
