dataset,event_id,year,fold
OOF,2014-0001-TON,2014,1
OOF,2014-0002-BRA,2014,1
OOF,2014-0004-AUS,2014,1
OOF,2014-0005-NGA,2014,1
OOF,2014-0006-CHN,2014,1
OOF,2014-0008-ESP,2014,1
OOF,2014-0008-FRA,2014,1
OOF,2014-0009-USA,2014,1
OOF,2014-0010-AUS,2014,1
OOF,2014-0013-DZA,2014,1
OOF,2014-0014-CHN,2014,1
OOF,2014-0015-IND,2014,1
OOF,2014-0016-REU,2014,1
OOF,2014-0017-PAK,2014,1
OOF,2014-0018-IDN,2014,1
OOF,2014-0020-PHL,2014,1
OOF,2014-0021-ARG,2014,1
OOF,2014-0024-IND,2014,1
OOF,2014-0026-ITA,2014,1
OOF,2014-0027-FRA,2014,1
OOF,2014-0028-COD,2014,1
OOF,2014-0029-BLR,2014,1
OOF,2014-0030-POL,2014,1
OOF,2014-0030-ROU,2014,1
OOF,2014-0031-CAN,2014,1
OOF,2014-0032-COD,2014,1
OOF,2014-0033-IND,2014,1
OOF,2014-0034-IDN,2014,1
OOF,2014-0035-BOL,2014,1
OOF,2014-0036-COL,2014,1
OOF,2014-0037-TUR,2014,1
OOF,2014-0039-GBR,2014,1
OOF,2014-0041-BGD,2014,1
OOF,2014-0042-TZA,2014,1
OOF,2014-0043-UKR,2014,1
OOF,2014-0044-IDN,2014,1
OOF,2014-0045-ITA,2014,1
OOF,2014-0046-SVN,2014,1
OOF,2014-0047-IND,2014,1
OOF,2014-0048-USA,2014,1
OOF,2014-0052-USA,2014,1
OOF,2014-0053-USA,2014,1
OOF,2014-0054-IRN,2014,1
OOF,2014-0055-PHL,2014,1
OOF,2014-0056-IDN,2014,1
OOF,2014-0057-IDN,2014,1
OOF,2014-0059-ARG,2014,1
OOF,2014-0060-SAU,2014,1
OOF,2014-0061-JPN,2014,1
OOF,2014-0063-BDI,2014,1
OOF,2014-0064-IDN,2014,1
OOF,2014-0065-TLS,2014,1
OOF,2014-0066-ZWE,2014,1
OOF,2014-0067-GBR,2014,1
OOF,2014-0067-IRL,2014,1
OOF,2014-0067-PRT,2014,1
OOF,2014-0068-JPN,2014,1
OOF,2014-0069-RUS,2014,1
OOF,2014-0070-NPL,2014,1
OOF,2014-0072-USA,2014,1
OOF,2014-0073-DZA,2014,1
OOF,2014-0074-QAT,2014,1
OOF,2014-0075-THA,2014,1
OOF,2014-0076-TUN,2014,1
OOF,2014-0077-KOR,2014,1
OOF,2014-0078-TGO,2014,1
OOF,2014-0079-THA,2014,1
OOF,2014-0081-IDN,2014,1
