scheme,subset,start_year,end_year,sample_count,hdi_missing_count,hdi_missing_rate,preprocessing_fit_allowed,notes,low_count,low_rate,moderate_count,moderate_rate,high_count,high_rate,extreme_count,extreme_rate
A_conservative_backtest,train,2000,2015,9041,256,0.028315451830549718,True,Long historical training window and early stable test; useful robustness backtest but less representative of recent conditions.,2001,0.22132507465988277,6282,0.694834642185599,683,0.07554474062603694,75,0.008295542528481362
A_conservative_backtest,validation,2016,2017,859,26,0.030267753201396973,False,Long historical training window and early stable test; useful robustness backtest but less representative of recent conditions.,230,0.26775320139697323,568,0.6612339930151339,59,0.06868451688009314,2,0.002328288707799767
A_conservative_backtest,test,2018,2020,1275,22,0.017254901960784313,False,Long historical training window and early stable test; useful robustness backtest but less representative of recent conditions.,394,0.30901960784313726,792,0.6211764705882353,80,0.06274509803921569,9,0.007058823529411765
A_conservative_backtest,maturity_holdback,2021,2026,2407,1059,0.4399667636061487,False,Long historical training window and early stable test; useful robustness backtest but less representative of recent conditions.,768,0.31906938097216453,1387,0.576235978396344,195,0.08101371001246364,57,0.023680930619027835
B_recommended_stable_recent,train,2000,2019,10786,296,0.027442981642870387,True,Recommended: recent but likely mature test years; 2024-2026 held out because casualty/loss revisions may still be incomplete.,2464,0.2284442796217319,7439,0.6896903393287594,801,0.07426293343222697,82,0.007602447617281662
B_recommended_stable_recent,validation,2020,2021,804,13,0.01616915422885572,False,Recommended: recent but likely mature test years; 2024-2026 held out because casualty/loss revisions may still be incomplete.,322,0.40049751243781095,433,0.5385572139303483,42,0.05223880597014925,7,0.008706467661691543
B_recommended_stable_recent,test,2022,2023,948,10,0.010548523206751054,False,Recommended: recent but likely mature test years; 2024-2026 held out because casualty/loss revisions may still be incomplete.,305,0.3217299578059072,524,0.5527426160337553,87,0.09177215189873418,32,0.03375527426160337
B_recommended_stable_recent,maturity_holdback,2024,2026,1044,1044,1.0,False,Recommended: recent but likely mature test years; 2024-2026 held out because casualty/loss revisions may still be incomplete.,302,0.289272030651341,633,0.6063218390804598,87,0.08333333333333333,22,0.0210727969348659
C_rolling_origin_sensitivity,train,2000,2017,9900,282,0.028484848484848484,True,More conservative maturity cutoff and includes pandemic-era distribution shift in test; smaller recent training window.,2231,0.22535353535353536,6850,0.6919191919191919,742,0.07494949494949495,77,0.0077777777777777776
C_rolling_origin_sensitivity,validation,2018,2019,886,14,0.01580135440180587,False,More conservative maturity cutoff and includes pandemic-era distribution shift in test; smaller recent training window.,233,0.26297968397291194,589,0.664785553047404,59,0.06659142212189616,5,0.0056433408577878106
C_rolling_origin_sensitivity,test,2020,2022,1275,19,0.014901960784313726,False,More conservative maturity cutoff and includes pandemic-era distribution shift in test; smaller recent training window.,473,0.37098039215686274,693,0.5435294117647059,88,0.06901960784313725,21,0.01647058823529412
C_rolling_origin_sensitivity,maturity_holdback,2023,2026,1521,1048,0.6890203813280736,False,More conservative maturity cutoff and includes pandemic-era distribution shift in test; smaller recent training window.,456,0.29980276134122286,897,0.5897435897435898,128,0.084155161078238,40,0.026298487836949377
