experiment_id,feature,training_median
T0,year,2008.0
T0,date_imputed,0.0
T0,historical_frequency,67.0
T0,hdi,0.655
T0,hdi_missing,0.0
T0,event_month,7.0
T0,month_missing,0.0
T1,year,2008.0
T1,date_imputed,0.0
T1,historical_frequency,67.0
T1,hdi,0.655
T1,hdi_missing,0.0
T1,event_month,7.0
T1,month_missing,0.0
T1,population_log,17.996828340892506
T1,gdp_per_capita_ppp_log,8.933968056114045
T1,population_missing,0.0
T1,gdp_per_capita_missing,0.0
T2,year,2008.0
T2,date_imputed,0.0
T2,historical_frequency,67.0
T2,hdi,0.655
T2,hdi_missing,0.0
T2,event_month,7.0
T2,month_missing,0.0
T2,magnitude_robust_z,0.0
T2,magnitude_missing,1.0
T2,magnitude_group_unknown,1.0
T3,year,2008.0
T3,date_imputed,0.0
T3,historical_frequency,67.0
T3,hdi,0.655
T3,hdi_missing,0.0
T3,event_month,7.0
T3,month_missing,0.0
T3,population_log,17.996828340892506
T3,gdp_per_capita_ppp_log,8.933968056114045
T3,population_missing,0.0
T3,gdp_per_capita_missing,0.0
T3,magnitude_robust_z,0.0
T3,magnitude_missing,1.0
T3,magnitude_group_unknown,1.0
