order,expanded_feature
1,categorical__country_code_AFG
2,categorical__country_code_AGO
3,categorical__country_code_AIA
4,categorical__country_code_ALB
5,categorical__country_code_ANT
6,categorical__country_code_ARE
7,categorical__country_code_ARG
8,categorical__country_code_ARM
9,categorical__country_code_ASM
10,categorical__country_code_ATG
11,categorical__country_code_AUS
12,categorical__country_code_AUT
13,categorical__country_code_AZE
14,categorical__country_code_BDI
15,categorical__country_code_BEL
16,categorical__country_code_BEN
17,categorical__country_code_BFA
18,categorical__country_code_BGD
19,categorical__country_code_BGR
20,categorical__country_code_BHR
21,categorical__country_code_BHS
22,categorical__country_code_BIH
23,categorical__country_code_BLM
24,categorical__country_code_BLR
25,categorical__country_code_BLZ
26,categorical__country_code_BMU
27,categorical__country_code_BOL
28,categorical__country_code_BRA
29,categorical__country_code_BRB
30,categorical__country_code_BTN
31,categorical__country_code_BWA
32,categorical__country_code_CAF
33,categorical__country_code_CAN
34,categorical__country_code_CHE
35,categorical__country_code_CHL
36,categorical__country_code_CHN
37,categorical__country_code_CIV
38,categorical__country_code_CMR
39,categorical__country_code_COD
40,categorical__country_code_COG
41,categorical__country_code_COL
42,categorical__country_code_COM
43,categorical__country_code_CPV
44,categorical__country_code_CRI
45,categorical__country_code_CUB
46,categorical__country_code_CUW
47,categorical__country_code_CYM
48,categorical__country_code_CYP
49,categorical__country_code_CZE
50,categorical__country_code_DEU
51,categorical__country_code_DJI
52,categorical__country_code_DMA
53,categorical__country_code_DNK
54,categorical__country_code_DOM
55,categorical__country_code_DZA
56,categorical__country_code_ECU
57,categorical__country_code_EGY
58,categorical__country_code_ERI
59,categorical__country_code_ESP
60,categorical__country_code_EST
61,categorical__country_code_ETH
62,categorical__country_code_FIN
63,categorical__country_code_FJI
64,categorical__country_code_FRA
65,categorical__country_code_FSM
66,categorical__country_code_GAB
67,categorical__country_code_GBR
68,categorical__country_code_GEO
69,categorical__country_code_GHA
70,categorical__country_code_GIN
71,categorical__country_code_GLP
72,categorical__country_code_GMB
73,categorical__country_code_GNB
74,categorical__country_code_GNQ
75,categorical__country_code_GRC
76,categorical__country_code_GRD
77,categorical__country_code_GTM
78,categorical__country_code_GUF
79,categorical__country_code_GUM
80,categorical__country_code_GUY
81,categorical__country_code_HKG
82,categorical__country_code_HND
83,categorical__country_code_HRV
84,categorical__country_code_HTI
85,categorical__country_code_HUN
86,categorical__country_code_IDN
87,categorical__country_code_IND
88,categorical__country_code_IRL
89,categorical__country_code_IRN
90,categorical__country_code_IRQ
91,categorical__country_code_ISR
92,categorical__country_code_ITA
93,categorical__country_code_JAM
94,categorical__country_code_JOR
95,categorical__country_code_JPN
96,categorical__country_code_KAZ
97,categorical__country_code_KEN
98,categorical__country_code_KGZ
99,categorical__country_code_KHM
100,categorical__country_code_KIR
101,categorical__country_code_KOR
102,categorical__country_code_KWT
103,categorical__country_code_LAO
104,categorical__country_code_LBN
105,categorical__country_code_LBR
106,categorical__country_code_LBY
107,categorical__country_code_LCA
108,categorical__country_code_LKA
109,categorical__country_code_LSO
110,categorical__country_code_LTU
111,categorical__country_code_LUX
112,categorical__country_code_LVA
113,categorical__country_code_MAC
114,categorical__country_code_MAF
115,categorical__country_code_MAR
116,categorical__country_code_MDA
117,categorical__country_code_MDG
118,categorical__country_code_MDV
119,categorical__country_code_MEX
120,categorical__country_code_MHL
121,categorical__country_code_MKD
122,categorical__country_code_MLI
123,categorical__country_code_MLT
124,categorical__country_code_MMR
125,categorical__country_code_MNE
126,categorical__country_code_MNG
127,categorical__country_code_MNP
128,categorical__country_code_MOZ
129,categorical__country_code_MRT
130,categorical__country_code_MTQ
131,categorical__country_code_MUS
132,categorical__country_code_MWI
133,categorical__country_code_MYS
134,categorical__country_code_MYT
135,categorical__country_code_NAM
136,categorical__country_code_NCL
137,categorical__country_code_NER
138,categorical__country_code_NGA
139,categorical__country_code_NIC
140,categorical__country_code_NIU
141,categorical__country_code_NLD
142,categorical__country_code_NOR
143,categorical__country_code_NPL
144,categorical__country_code_NZL
145,categorical__country_code_OMN
146,categorical__country_code_PAK
147,categorical__country_code_PAN
148,categorical__country_code_PER
149,categorical__country_code_PHL
150,categorical__country_code_PNG
151,categorical__country_code_POL
152,categorical__country_code_PRI
153,categorical__country_code_PRK
154,categorical__country_code_PRT
155,categorical__country_code_PRY
156,categorical__country_code_PSE
157,categorical__country_code_PYF
158,categorical__country_code_QAT
159,categorical__country_code_REU
160,categorical__country_code_ROU
161,categorical__country_code_RUS
162,categorical__country_code_RWA
163,categorical__country_code_SAU
164,categorical__country_code_SCG
165,categorical__country_code_SDN
166,categorical__country_code_SEN
167,categorical__country_code_SGP
168,categorical__country_code_SLB
169,categorical__country_code_SLE
170,categorical__country_code_SLV
171,categorical__country_code_SOM
172,categorical__country_code_SPI
173,categorical__country_code_SRB
174,categorical__country_code_SSD
175,categorical__country_code_STP
176,categorical__country_code_SUR
177,categorical__country_code_SVK
178,categorical__country_code_SVN
179,categorical__country_code_SWE
180,categorical__country_code_SWZ
181,categorical__country_code_SXM
182,categorical__country_code_SYC
183,categorical__country_code_SYR
184,categorical__country_code_TCA
185,categorical__country_code_TCD
186,categorical__country_code_TGO
187,categorical__country_code_THA
188,categorical__country_code_TJK
189,categorical__country_code_TKM
190,categorical__country_code_TLS
191,categorical__country_code_TON
192,categorical__country_code_TTO
193,categorical__country_code_TUN
194,categorical__country_code_TUR
195,categorical__country_code_TUV
196,categorical__country_code_TWN
197,categorical__country_code_TZA
198,categorical__country_code_UGA
199,categorical__country_code_UKR
200,categorical__country_code_URY
201,categorical__country_code_USA
202,categorical__country_code_UZB
203,categorical__country_code_VCT
204,categorical__country_code_VEN
205,categorical__country_code_VGB
206,categorical__country_code_VIR
207,categorical__country_code_VNM
208,categorical__country_code_VUT
209,categorical__country_code_WSM
210,categorical__country_code_YEM
211,categorical__country_code_ZAF
212,categorical__country_code_ZMB
213,categorical__country_code_ZWE
214,categorical__region_Australia and New Zealand
