group,variable,statistic,level,value
all,year,valid_n,,948.0
all,year,median,,2023.0
all,year,iqr,,1.0
all,historical_frequency,valid_n,,948.0
all,historical_frequency,median,,141.0
all,historical_frequency,iqr,,218.0
all,hdi,valid_n,,938.0
all,hdi,median,,0.7525
all,hdi,iqr,,0.23075
all,magnitude_robust_z,valid_n,,137.0
all,magnitude_robust_z,median,,-0.1666666666666668
all,magnitude_robust_z,iqr,,0.9583333333333328
all,max_probability,valid_n,,948.0
all,max_probability,median,,0.7017752618035875
all,max_probability,iqr,,0.2100714891433082
all,probability_Low,valid_n,,948.0
all,probability_Low,median,,0.29901727668316164
all,probability_Low,iqr,,0.6184302465750943
all,probability_Moderate,valid_n,,948.0
all,probability_Moderate,median,,0.2383710862792049
all,probability_Moderate,iqr,,0.4745685991887122
all,probability_Severe,valid_n,,948.0
all,probability_Severe,median,,0.16144323533820665
all,probability_Severe,iqr,,0.24276043853002172
all,disaster_type,count,Flood,242.0
all,disaster_type,proportion,Flood,0.2552742616033755
all,disaster_type,count,Storm,188.0
all,disaster_type,proportion,Storm,0.19831223628691982
all,disaster_type,count,Road,103.0
all,disaster_type,proportion,Road,0.10864978902953587
all,disaster_type,count,Extreme temperature,79.0
all,disaster_type,proportion,Extreme temperature,0.08333333333333333
all,disaster_type,count,Water,75.0
all,disaster_type,proportion,Water,0.07911392405063292
all,disaster_type,count,Earthquake,43.0
all,disaster_type,proportion,Earthquake,0.04535864978902954
all,disaster_type,count,Mass movement (wet),39.0
all,disaster_type,proportion,Mass movement (wet),0.04113924050632911
all,disaster_type,count,Fire (Miscellaneous),33.0
all,disaster_type,proportion,Fire (Miscellaneous),0.03481012658227848
all,disaster_type,count,Epidemic,31.0
all,disaster_type,proportion,Epidemic,0.03270042194092827
all,disaster_type,count,Wildfire,19.0
all,disaster_type,proportion,Wildfire,0.020042194092827006
all,disaster_type,count,Miscellaneous accident (General),18.0
all,disaster_type,proportion,Miscellaneous accident (General),0.0189873417721519
all,disaster_type,count,Explosion (Industrial),17.0
all,disaster_type,proportion,Explosion (Industrial),0.017932489451476793
all,disaster_type,count,Collapse (Industrial),11.0
all,disaster_type,proportion,Collapse (Industrial),0.011603375527426161
all,disaster_type,count,Air,11.0
all,disaster_type,proportion,Air,0.011603375527426161
all,disaster_type,count,Collapse (Miscellaneous),8.0
all,disaster_type,proportion,Collapse (Miscellaneous),0.008438818565400843
all,disaster_type,count,Explosion (Miscellaneous),7.0
all,disaster_type,proportion,Explosion (Miscellaneous),0.007383966244725738
all,disaster_type,count,Fire (Industrial),5.0
all,disaster_type,proportion,Fire (Industrial),0.005274261603375527
all,disaster_type,count,Industrial accident (General),4.0
all,disaster_type,proportion,Industrial accident (General),0.004219409282700422
all,disaster_type,count,Drought,4.0
all,disaster_type,proportion,Drought,0.004219409282700422
all,disaster_type,count,Rail,4.0
all,disaster_type,proportion,Rail,0.004219409282700422
all,disaster_type,count,Volcanic activity,3.0
all,disaster_type,proportion,Volcanic activity,0.0031645569620253164
all,disaster_type,count,Glacial lake outburst flood,2.0
all,disaster_type,proportion,Glacial lake outburst flood,0.002109704641350211
all,disaster_type,count,Gas leak,2.0
all,disaster_type,proportion,Gas leak,0.002109704641350211
all,region,count,Sub-Saharan Africa,199.0
all,region,proportion,Sub-Saharan Africa,0.20991561181434598
all,region,count,Latin America and the Caribbean,153.0
all,region,proportion,Latin America and the Caribbean,0.16139240506329114
all,region,count,Southern Asia,120.0
all,region,proportion,Southern Asia,0.12658227848101267
all,region,count,South-eastern Asia,106.0
all,region,proportion,South-eastern Asia,0.11181434599156118
all,region,count,Eastern Asia,63.0
all,region,proportion,Eastern Asia,0.06645569620253164
all,region,count,Northern America,55.0
all,region,proportion,Northern America,0.0580168776371308
all,region,count,Southern Europe,54.0
all,region,proportion,Southern Europe,0.056962025316455694
all,region,count,Western Asia,43.0
all,region,proportion,Western Asia,0.04535864978902954
all,region,count,Northern Africa,39.0
all,region,proportion,Northern Africa,0.04113924050632911
all,region,count,Eastern Europe,39.0
all,region,proportion,Eastern Europe,0.04113924050632911
all,region,count,Western Europe,35.0
all,region,proportion,Western Europe,0.03691983122362869
all,region,count,Northern Europe,23.0
all,region,proportion,Northern Europe,0.024261603375527425
all,region,count,Australia and New Zealand,10.0
all,region,proportion,Australia and New Zealand,0.010548523206751054
all,region,count,Central Asia,4.0
all,region,proportion,Central Asia,0.004219409282700422
all,region,count,Melanesia,3.0
all,region,proportion,Melanesia,0.0031645569620253164
all,region,count,Polynesia,1.0
all,region,proportion,Polynesia,0.0010548523206751054
all,region,count,Micronesia,1.0
all,region,proportion,Micronesia,0.0010548523206751054
all,date_granularity,count,day,877.0
all,date_granularity,proportion,day,0.9251054852320675
all,date_granularity,count,month,68.0
all,date_granularity,proportion,month,0.07172995780590717
all,date_granularity,count,year,3.0
all,date_granularity,proportion,year,0.0031645569620253164
all,date_imputed,count,0,877.0
all,date_imputed,proportion,0,0.9251054852320675
all,date_imputed,count,1,71.0
all,date_imputed,proportion,1,0.07489451476793249
all,hdi_missing,count,0,938.0
all,hdi_missing,proportion,0,0.989451476793249
all,hdi_missing,count,1,10.0
all,hdi_missing,proportion,1,0.010548523206751054
all,magnitude_missing,count,1,810.0
all,magnitude_missing,proportion,1,0.8544303797468354
all,magnitude_missing,count,0,138.0
