feature,importance
magnitude_group_unknown,0.2130600172350926
disaster_type,0.1629029751867861
disaster_subtype,0.14226309826915062
hdi,0.1156249327902208
region,0.0948361228412389
historical_frequency,0.07352865057509418
country_code,0.05851372710780334
magnitude_robust_z,0.05280947959166077
event_month,0.036094460852696214
year,0.0352518917687053
magnitude_missing,0.007562394836307833
date_granularity,0.003974795311796231
date_imputed,0.00217664801155875
hdi_missing,0.0013731617124509085
month_missing,2.7643909437594652e-05
