transformed_feature,original_feature,importance
categorical__country_code_AFG,country_code,0.0005945400151441994
categorical__country_code_AGO,country_code,0.00025148877855760664
categorical__country_code_AIA,country_code,0.0
categorical__country_code_ALB,country_code,0.0
categorical__country_code_ANT,country_code,0.0
categorical__country_code_ARE,country_code,0.0
categorical__country_code_ARG,country_code,0.00012754047632705534
categorical__country_code_ARM,country_code,0.0
categorical__country_code_ASM,country_code,0.0
categorical__country_code_ATG,country_code,0.0
categorical__country_code_AUS,country_code,2.5299709795495535e-05
categorical__country_code_AUT,country_code,3.7522872356247136e-07
categorical__country_code_AZE,country_code,0.0
categorical__country_code_BDI,country_code,6.62608326050616e-05
categorical__country_code_BEL,country_code,5.825096206071112e-05
categorical__country_code_BEN,country_code,0.0007130970919228217
categorical__country_code_BFA,country_code,0.0002556907658218171
categorical__country_code_BGD,country_code,0.003908455435402991
categorical__country_code_BGR,country_code,0.0
categorical__country_code_BHR,country_code,0.0
categorical__country_code_BHS,country_code,2.8748932454754824e-05
categorical__country_code_BIH,country_code,0.0
categorical__country_code_BLM,country_code,0.0
categorical__country_code_BLR,country_code,0.0
categorical__country_code_BLZ,country_code,0.0
categorical__country_code_BMU,country_code,0.0
categorical__country_code_BOL,country_code,1.3163394631897887e-05
categorical__country_code_BRA,country_code,0.00038902159808360887
categorical__country_code_BRB,country_code,0.0
categorical__country_code_BTN,country_code,0.0
categorical__country_code_BWA,country_code,0.0
categorical__country_code_CAF,country_code,4.604629971699372e-05
categorical__country_code_CAN,country_code,1.4127495411249034e-05
categorical__country_code_CHE,country_code,1.0145837252877487e-06
categorical__country_code_CHL,country_code,9.382975133124449e-05
categorical__country_code_CHN,country_code,0.007933858517859908
categorical__country_code_CIV,country_code,0.00025234615840660606
categorical__country_code_CMR,country_code,3.0915925778844615e-05
categorical__country_code_COD,country_code,0.0010625945088691955
categorical__country_code_COG,country_code,4.292258534302213e-05
categorical__country_code_COL,country_code,0.0013249170560186057
categorical__country_code_COM,country_code,1.206823379107517e-05
categorical__country_code_CPV,country_code,0.0
categorical__country_code_CRI,country_code,0.0
categorical__country_code_CUB,country_code,5.446519291975661e-06
categorical__country_code_CUW,country_code,0.0
categorical__country_code_CYM,country_code,0.0
categorical__country_code_CYP,country_code,0.0
categorical__country_code_CZE,country_code,6.614711311012282e-07
categorical__country_code_DEU,country_code,8.563778862696494e-05
categorical__country_code_DJI,country_code,1.8253799547266705e-06
categorical__country_code_DMA,country_code,0.0
categorical__country_code_DNK,country_code,0.0
categorical__country_code_DOM,country_code,5.962696569968183e-05
categorical__country_code_DZA,country_code,0.0002216835828541041
categorical__country_code_ECU,country_code,3.762658475085409e-05
categorical__country_code_EGY,country_code,4.575943550289503e-05
categorical__country_code_ERI,country_code,0.0
categorical__country_code_ESP,country_code,4.056962803940742e-05
categorical__country_code_EST,country_code,0.0
categorical__country_code_ETH,country_code,0.0015111209181689145
categorical__country_code_FIN,country_code,0.0
categorical__country_code_FJI,country_code,7.462029617373009e-06
categorical__country_code_FRA,country_code,1.636312499927672e-05
categorical__country_code_FSM,country_code,0.0
categorical__country_code_GAB,country_code,0.0
categorical__country_code_GBR,country_code,4.1467860341031496e-07
categorical__country_code_GEO,country_code,0.0
categorical__country_code_GHA,country_code,0.00016233700817379568
categorical__country_code_GIN,country_code,1.9217875754490802e-05
categorical__country_code_GLP,country_code,0.0
categorical__country_code_GMB,country_code,0.0
categorical__country_code_GNB,country_code,0.0
categorical__country_code_GNQ,country_code,0.0
categorical__country_code_GRC,country_code,0.00013613794415141315
categorical__country_code_GRD,country_code,0.0
categorical__country_code_GTM,country_code,0.0001251054141894586
categorical__country_code_GUF,country_code,0.0
categorical__country_code_GUM,country_code,0.0
categorical__country_code_GUY,country_code,0.0
categorical__country_code_HKG,country_code,0.0
categorical__country_code_HND,country_code,6.090830353661605e-05
categorical__country_code_HRV,country_code,0.0
categorical__country_code_HTI,country_code,0.0001819917716984161
categorical__country_code_HUN,country_code,2.9868370235701708e-05
categorical__country_code_IDN,country_code,0.001684013592515828
categorical__country_code_IND,country_code,0.006834203880606313
categorical__country_code_IRL,country_code,0.0
categorical__country_code_IRN,country_code,0.0010176069002482552
categorical__country_code_IRQ,country_code,3.349139787080765e-05
categorical__country_code_ISR,country_code,0.0
categorical__country_code_ITA,country_code,0.0003994276332543546
categorical__country_code_JAM,country_code,3.592208538276681e-06
categorical__country_code_JOR,country_code,1.4227391031538712e-19
categorical__country_code_JPN,country_code,0.0005116985017750427
categorical__country_code_KAZ,country_code,0.0
categorical__country_code_KEN,country_code,0.0009976937782488308
categorical__country_code_KGZ,country_code,0.0
categorical__country_code_KHM,country_code,0.00016566029205535615
categorical__country_code_KIR,country_code,0.0
categorical__country_code_KOR,country_code,0.0004804243954153772
categorical__country_code_KWT,country_code,0.0
categorical__country_code_LAO,country_code,2.9231182598522716e-05
categorical__country_code_LBN,country_code,0.0
categorical__country_code_LBR,country_code,0.0
categorical__country_code_LBY,country_code,0.004257540295434891
categorical__country_code_LCA,country_code,0.0
categorical__country_code_LKA,country_code,0.001066970987561927
categorical__country_code_LSO,country_code,0.0
categorical__country_code_LTU,country_code,0.0
