case_group,selection_rank,event_id,year,country,country_code,region,disaster_type,disaster_subtype,true_label,predicted_label,probability_Low,probability_Moderate,probability_Severe,historical_frequency,hdi,hdi_missing,event_month,month_missing,magnitude_robust_z,magnitude_missing,magnitude_group_unknown,top_local_shap_feature,top_local_shap_signed_value
Low correct,1,2022-0112-IRL,2022,Ireland,IRL,Northern Europe,Storm,Extra-tropical storm,Low,Low,0.9126548698230277,0.07240770739399903,0.014937422782973508,15,0.947,0,2.0,0,,1,0,magnitude_group_unknown,0.20550004053374554
Low correct,2,2023-0460-SVN,2023,Slovenia,SVN,Southern Europe,Storm,Storm (General),Low,Low,0.9125758346753372,0.07381354896124045,0.013610616363422206,13,0.931,0,7.0,0,,1,0,magnitude_group_unknown,0.20373606709653136
Moderate correct,1,2022-0062-IDN,2022,Indonesia,IDN,South-eastern Asia,Road,Road,Moderate,Moderate,0.0,0.9968817515688262,0.0031182484311739014,499,0.726,0,2.0,0,,1,1,magnitude_group_unknown,0.22041002346489036
Moderate correct,2,2022-0208-EGY,2022,Egypt,EGY,Northern Africa,Road,Road,Moderate,Moderate,0.0,0.9968817515688262,0.0031182484311739014,170,0.751,0,4.0,0,,1,1,magnitude_group_unknown,0.21905460293029164
Severe correct,1,2022-0465-BEL,2022,Belgium,BEL,Western Europe,Extreme temperature,Heat wave,Severe,Severe,0.07291980985999551,0.01994019293486892,0.9071399972051354,40,0.945,0,5.0,0,-0.4067796610169492,0,0,disaster_subtype,0.2981925920594274
Severe correct,2,2022-0465-DEU,2022,Germany,DEU,Western Europe,Extreme temperature,Heat wave,Severe,Severe,0.08786624513262366,0.022237327876397716,0.8898964269909788,75,0.955,0,5.0,0,-0.3661016949152546,0,0,disaster_subtype,0.2898223393329836
Severe to Low,1,2023-0524-USA,2023,United States of America,USA,Northern America,Wildfire,Wildfire (General),Severe,Low,0.831902603728027,0.13637011533398016,0.03172728093799318,679,0.938,0,8.0,0,,1,0,magnitude_group_unknown,0.21112751929003562
Severe to Low,2,2022-0318-BRA,2022,Brazil,BRA,Latin America and the Caribbean,Flood,Flood (General),Severe,Low,0.7965758188164581,0.1559156328962916,0.04750854828725012,223,0.78,0,5.0,0,,1,0,magnitude_group_unknown,0.21418593143947526
Moderate to Low,1,2023-0155-ECU,2023,Ecuador,ECU,Latin America and the Caribbean,Earthquake,Ground movement,Moderate,Low,0.7064164035797053,0.11429710485857328,0.1792864915617219,90,0.777,0,3.0,0,0.3333333333333328,0,0,magnitude_group_unknown,0.20313374516226895
Moderate to Low,2,2023-0762-PHL,2023,Philippines,PHL,South-eastern Asia,Earthquake,Ground movement,Moderate,Low,0.49965668407614283,0.16786463441079813,0.33247868151305954,448,0.72,0,11.0,0,0.2499999999999998,0,0,magnitude_group_unknown,0.16029366624702393
Low to Severe,1,2022-0255-COD,2022,Democratic Republic of the Congo,COD,Sub-Saharan Africa,Epidemic,Viral disease,Low,Severe,0.07859521459246811,0.2128630063114743,0.7085417790960573,276,0.514,0,4.0,0,,1,1,disaster_type,0.16753822185795159
Low to Severe,2,2022-0263-COD,2022,Democratic Republic of the Congo,COD,Sub-Saharan Africa,Epidemic,Viral disease,Low,Severe,0.07953259435327299,0.21254975893843067,0.7079176467082964,277,0.514,0,4.0,0,,0,1,disaster_type,0.16587544675306626
