feature,class,mean_abs_shap
country_code,Low,0.0181514983709088
country_code,Moderate,0.013555460001591343
country_code,Severe,0.017936594793805053
country_code,overall,0.016547851055435065
region,Low,0.049657791700402056
region,Moderate,0.016925928510179437
region,Severe,0.04393692833740766
region,overall,0.03684021618266305
disaster_type,Low,0.07635947051900899
disaster_type,Moderate,0.07222621227700043
disaster_type,Severe,0.09110233885393591
disaster_type,overall,0.07989600721664843
disaster_subtype,Low,0.0683369515161342
disaster_subtype,Moderate,0.05719604283410488
disaster_subtype,Severe,0.07895902736323716
disaster_subtype,overall,0.06816400723782541
date_granularity,Low,0.0017599395877166903
date_granularity,Moderate,0.0006000688212747074
date_granularity,Severe,0.001916174834023179
date_granularity,overall,0.0014253944143381924
year,Low,0.012075789092836315
year,Moderate,0.013477959630855692
year,Severe,0.02522018357821265
year,overall,0.016924644100634885
date_imputed,Low,0.000850769973768032
date_imputed,Moderate,0.0003878457050491996
date_imputed,Severe,0.0010320273709166683
date_imputed,overall,0.0007568810165779667
historical_frequency,Low,0.024963037239514835
historical_frequency,Moderate,0.016356998991708123
historical_frequency,Severe,0.013710636531367726
historical_frequency,overall,0.01834355758753023
hdi,Low,0.07538356111713052
hdi,Moderate,0.022119229163807423
hdi,Severe,0.06242130273119743
hdi,overall,0.053308031004045124
hdi_missing,Low,0.00033665240766408077
hdi_missing,Moderate,0.00033555698630925837
hdi_missing,Severe,0.00034678288746889645
hdi_missing,overall,0.00033966409381407857
event_month,Low,0.006565831053784559
event_month,Moderate,0.005848016167401171
event_month,Severe,0.01008634406993836
event_month,overall,0.00750006376370803
month_missing,Low,1.5670147708032883e-06
month_missing,Moderate,9.65913609721842e-06
month_missing,Severe,1.0234763770276017e-05
month_missing,overall,7.153638212765909e-06
magnitude_robust_z,Low,0.019725723182304165
magnitude_robust_z,Moderate,0.0028401778992915576
magnitude_robust_z,Severe,0.020009313912532745
magnitude_robust_z,overall,0.014191738331376156
magnitude_missing,Low,0.005551566686258172
magnitude_missing,Moderate,0.001666129955931292
magnitude_missing,Severe,0.006889017930588219
magnitude_missing,overall,0.004702238190925894
magnitude_group_unknown,Low,0.19163897810441716
magnitude_group_unknown,Moderate,0.16594312770465328
magnitude_group_unknown,Severe,0.04979659319541287
magnitude_group_unknown,overall,0.13579289966816108
