transformed_feature,original_feature,class,mean_abs_shap
categorical__country_code_AFG,country_code,Low,8.52565923310795e-05
categorical__country_code_AFG,country_code,Moderate,0.000157355780641578
categorical__country_code_AFG,country_code,Severe,0.00022182157160037253
categorical__country_code_AGO,country_code,Low,2.3852975919769596e-05
categorical__country_code_AGO,country_code,Moderate,2.1330868996099157e-05
categorical__country_code_AGO,country_code,Severe,1.7622918635167655e-05
categorical__country_code_AIA,country_code,Low,0.0
categorical__country_code_AIA,country_code,Moderate,0.0
categorical__country_code_AIA,country_code,Severe,0.0
categorical__country_code_ALB,country_code,Low,0.0
categorical__country_code_ALB,country_code,Moderate,0.0
categorical__country_code_ALB,country_code,Severe,0.0
categorical__country_code_ANT,country_code,Low,0.0
categorical__country_code_ANT,country_code,Moderate,0.0
categorical__country_code_ANT,country_code,Severe,0.0
categorical__country_code_ARE,country_code,Low,0.0
categorical__country_code_ARE,country_code,Moderate,0.0
categorical__country_code_ARE,country_code,Severe,0.0
categorical__country_code_ARG,country_code,Low,3.3252611543214e-05
categorical__country_code_ARG,country_code,Moderate,2.9290021183293383e-05
categorical__country_code_ARG,country_code,Severe,4.897348351052408e-06
categorical__country_code_ARM,country_code,Low,0.0
categorical__country_code_ARM,country_code,Moderate,0.0
categorical__country_code_ARM,country_code,Severe,0.0
categorical__country_code_ASM,country_code,Low,0.0
categorical__country_code_ASM,country_code,Moderate,0.0
categorical__country_code_ASM,country_code,Severe,0.0
categorical__country_code_ATG,country_code,Low,0.0
categorical__country_code_ATG,country_code,Moderate,0.0
categorical__country_code_ATG,country_code,Severe,0.0
categorical__country_code_AUS,country_code,Low,5.815098329162313e-06
categorical__country_code_AUS,country_code,Moderate,1.0307908145250235e-05
categorical__country_code_AUS,country_code,Severe,1.6101278299495106e-05
categorical__country_code_AUT,country_code,Low,6.84925473404193e-07
categorical__country_code_AUT,country_code,Moderate,6.849254734041562e-07
categorical__country_code_AUT,country_code,Severe,0.0
categorical__country_code_AZE,country_code,Low,0.0
categorical__country_code_AZE,country_code,Moderate,0.0
categorical__country_code_AZE,country_code,Severe,0.0
categorical__country_code_BDI,country_code,Low,9.129834342115564e-06
categorical__country_code_BDI,country_code,Moderate,3.56594972133202e-06
categorical__country_code_BDI,country_code,Severe,5.8222910660026086e-06
categorical__country_code_BEL,country_code,Low,6.71554344698182e-05
categorical__country_code_BEL,country_code,Moderate,1.4791731629889088e-05
categorical__country_code_BEL,country_code,Severe,8.194716609970665e-05
categorical__country_code_BEN,country_code,Low,0.00014175219712131494
categorical__country_code_BEN,country_code,Moderate,1.2411317077532872e-05
categorical__country_code_BEN,country_code,Severe,0.0001295453026616841
categorical__country_code_BFA,country_code,Low,4.00487770410437e-05
