experiment_id,feature_order,feature,feature_role
T0,1,country_code,categorical
T0,2,region,categorical
T0,3,disaster_type,categorical
T0,4,disaster_subtype,categorical
T0,5,date_granularity,categorical
T0,6,year,numeric
T0,7,date_imputed,numeric
T0,8,historical_frequency,numeric
T0,9,hdi,numeric
T0,10,hdi_missing,numeric
T0,11,event_month,numeric
T0,12,month_missing,numeric
T1,1,country_code,categorical
T1,2,region,categorical
T1,3,disaster_type,categorical
T1,4,disaster_subtype,categorical
T1,5,date_granularity,categorical
T1,6,year,numeric
T1,7,date_imputed,numeric
T1,8,historical_frequency,numeric
T1,9,hdi,numeric
T1,10,hdi_missing,numeric
T1,11,event_month,numeric
T1,12,month_missing,numeric
T1,13,population_log,numeric
T1,14,gdp_per_capita_ppp_log,numeric
T1,15,population_missing,numeric
T1,16,gdp_per_capita_missing,numeric
T2,1,country_code,categorical
T2,2,region,categorical
T2,3,disaster_type,categorical
T2,4,disaster_subtype,categorical
T2,5,date_granularity,categorical
T2,6,year,numeric
T2,7,date_imputed,numeric
T2,8,historical_frequency,numeric
T2,9,hdi,numeric
T2,10,hdi_missing,numeric
T2,11,event_month,numeric
T2,12,month_missing,numeric
T2,13,magnitude_robust_z,numeric
T2,14,magnitude_missing,numeric
T2,15,magnitude_group_unknown,numeric
T3,1,country_code,categorical
T3,2,region,categorical
T3,3,disaster_type,categorical
T3,4,disaster_subtype,categorical
T3,5,date_granularity,categorical
T3,6,year,numeric
T3,7,date_imputed,numeric
T3,8,historical_frequency,numeric
T3,9,hdi,numeric
T3,10,hdi_missing,numeric
T3,11,event_month,numeric
T3,12,month_missing,numeric
T3,13,population_log,numeric
T3,14,gdp_per_capita_ppp_log,numeric
T3,15,population_missing,numeric
T3,16,gdp_per_capita_missing,numeric
T3,17,magnitude_robust_z,numeric
T3,18,magnitude_missing,numeric
T3,19,magnitude_group_unknown,numeric
