split,class,all_events,labeled_events,missing_label_events,class_count,class_rate_among_labeled
train,Low,13245,10786,2459,2464,0.2284442796217319
train,Moderate,13245,10786,2459,7439,0.6896903393287594
train,Severe,13245,10786,2459,883,0.08186538104950862
validation,Low,1103,804,299,322,0.40049751243781095
validation,Moderate,1103,804,299,433,0.5385572139303483
validation,Severe,1103,804,299,49,0.060945273631840796
test_label_audit_only,Low,1206,948,258,305,0.3217299578059072
test_label_audit_only,Moderate,1206,948,258,524,0.5527426160337553
test_label_audit_only,Severe,1206,948,258,119,0.12552742616033755
maturity_label_audit_only,Low,1304,1044,260,302,0.289272030651341
maturity_label_audit_only,Moderate,1304,1044,260,633,0.6063218390804598
maturity_label_audit_only,Severe,1304,1044,260,109,0.10440613026819924
