experiment_id,split,class,precision,recall,f1,support
T0,train,Low,0.57347275729224,0.8457792207792207,0.6835027877992784,2464
T0,train,Moderate,0.9407793209876543,0.6555988708159699,0.7727164699358314,7439
T0,train,Severe,0.32113821138211385,0.7157417893544734,0.44335320940021045,883
T0,validation,Low,0.6651685393258427,0.9192546583850931,0.771838331160365,322
T0,validation,Moderate,0.8881578947368421,0.6235565819861432,0.7327001356852103,433
T0,validation,Severe,0.2909090909090909,0.32653061224489793,0.3076923076923077,49
T1,train,Low,0.5807075732448866,0.8526785714285714,0.6908911542255837,2464
T1,train,Moderate,0.949279772773382,0.628982390106197,0.7566300129366106,7439
T1,train,Severe,0.30504689593568557,0.7734994337485843,0.4375400384368994,883
T1,validation,Low,0.6629464285714286,0.922360248447205,0.7714285714285715,322
T1,validation,Moderate,0.8855218855218855,0.6073903002309469,0.7205479452054795,433
T1,validation,Severe,0.288135593220339,0.3469387755102041,0.3148148148148148,49
T2,train,Low,0.5731641468682506,0.8616071428571429,0.6883916990920882,2464
T2,train,Moderate,0.9355631141345427,0.6655464444145719,0.7777865053805672,7439
T2,train,Severe,0.35307262569832404,0.7157417893544734,0.4728769173213618,883
T2,validation,Low,0.6578947368421053,0.9316770186335404,0.7712082262210797,322
T2,validation,Moderate,0.8949152542372881,0.6096997690531177,0.7252747252747253,433
T2,validation,Severe,0.33962264150943394,0.3673469387755102,0.35294117647058826,49
T3,train,Low,0.584942084942085,0.8607954545454546,0.696551724137931,2464
T3,train,Moderate,0.9385716977576786,0.6695792445221131,0.781578534442178,7439
T3,train,Severe,0.3561791689152725,0.7474518686296716,0.4824561403508772,883
T3,validation,Low,0.6621923937360179,0.9192546583850931,0.7698309492847855,322
T3,validation,Moderate,0.8859934853420195,0.628175519630485,0.7351351351351352,433
T3,validation,Severe,0.34,0.3469387755102041,0.3434343434343434,49
