event_id,country_code,region,disaster_type,disaster_subtype,year,total_deaths,event_date,event_date_upper,date_granularity,date_imputed,historical_frequency,hdi,three_class_label,hdi_missing,event_month,month_missing,raw_disaster_type,raw_disaster_subtype,magnitude_raw,magnitude_scale,magnitude,group_key
2000-0237-CHN,CHN,Eastern Asia,Road,Road,2000,25.0,2000-05-09,2000-05-09,day,0,25,0.598,Moderate,0,5.0,0,Road,Road,,,,
2005-0795-SOM,SOM,Sub-Saharan Africa,Water,Water,2005,46.0,2005-04-29,2005-04-29,day,0,26,,Moderate,1,4.0,0,Water,Water,,,,
2005-0799-NGA,NGA,Sub-Saharan Africa,Water,Water,2005,20.0,2005-07-26,2005-07-26,day,0,203,0.484,Moderate,0,7.0,0,Water,Water,,,,
2006-0375-MLI,MLI,Sub-Saharan Africa,Road,Road,2006,10.0,2006-07-14,2006-07-14,day,0,22,0.377,Moderate,0,7.0,0,Road,Road,,,,
2006-0454-HUN,HUN,Eastern Europe,Storm,Storm (General),2006,5.0,2006-08-20,2006-08-20,day,0,15,0.823,Low,0,8.0,0,Storm,Storm (General),120,Kph,120.0,Storm | Kph
2000-0703-NGA,NGA,Sub-Saharan Africa,Road,Road,2000,18.0,2000-10-28,2000-10-28,day,0,41,0.435,Moderate,0,10.0,0,Road,Road,,,,
2006-0467-IND,IND,Southern Asia,Road,Road,2006,27.0,2006-08-27,2006-08-27,day,0,292,0.557,Moderate,0,8.0,0,Road,Road,,,,
2007-0481-IND,IND,Southern Asia,Road,Road,2007,80.0,2007-09-07,2007-09-07,day,0,332,0.566,Moderate,0,9.0,0,Road,Road,,,,
2007-0588-SOM,SOM,Sub-Saharan Africa,Road,Road,2007,10.0,2007-11-14,2007-11-14,day,0,47,,Moderate,1,11.0,0,Road,Road,,,,
2007-0631-TUR,TUR,Western Asia,Water,Water,2007,49.0,2007-12-08,2007-12-08,day,0,88,0.719,Moderate,0,12.0,0,Water,Water,,,,
2000-0704-NGA,NGA,Sub-Saharan Africa,Water,Water,2000,27.0,2000-10-30,2000-10-30,day,0,42,0.435,Moderate,0,10.0,0,Water,Water,,,,
2000-0707-TWN,TWN,Eastern Asia,Air,Air,2000,82.0,2000-10-31,2000-10-31,day,0,2,,Moderate,1,10.0,0,Air,Air,,,,
2002-0222-GRC,GRC,Southern Europe,Water,Water,2002,27.0,2002-04-17,2002-04-17,day,0,12,0.836,Moderate,0,4.0,0,Water,Water,,,,
2002-0346-UGA,UGA,Sub-Saharan Africa,Water,Water,2002,35.0,2002-06-08,2002-06-08,day,0,22,0.432,Moderate,0,6.0,0,Water,Water,,,,
2003-0409-BRA,BRA,Latin America and the Caribbean,Air,Air,2003,21.0,2003-08-22,2003-08-22,day,0,43,0.705,Moderate,0,8.0,0,Air,Air,,,,
2003-0410-CHN,CHN,Eastern Asia,Road,Road,2003,27.0,2003-08-22,2003-08-22,day,0,299,0.63,Moderate,0,8.0,0,Road,Road,,,,
2005-0800-BGD,BGD,Southern Asia,Water,Water,2005,75.0,2005-08-02,2005-08-02,day,0,100,0.52,Moderate,0,8.0,0,Water,Water,,,,
2005-0802-CUB,CUB,Latin America and the Caribbean,Water,Water,2005,31.0,2005-08-21,2005-08-21,day,0,14,0.747,Moderate,0,8.0,0,Water,Water,,,,
2005-0803-IND,IND,Southern Asia,Water,Water,2005,50.0,2005-08-25,2005-08-25,day,0,240,0.547,Moderate,0,8.0,0,Water,Water,,,,
2005-0804-SOM,SOM,Sub-Saharan Africa,Water,Water,2005,61.0,2005-09-12,2005-09-12,day,0,30,,Moderate,1,9.0,0,Water,Water,,,,
2005-0805-MAR,MAR,Northern Africa,Water,Water,2005,20.0,2005-09-23,2005-09-23,day,0,31,0.573,Moderate,0,9.0,0,Water,Water,,,,
2005-0806-NPL,NPL,Southern Asia,Water,Water,2005,28.0,2005-10-16,2005-10-16,day,0,31,0.5,Moderate,0,10.0,0,Water,Water,,,,
2009-0161-IRN,IRN,Southern Asia,Road,Road,2009,28.0,2009-05-04,2009-05-04,day,0,147,0.771,Moderate,0,5.0,0,Road,Road,,,,
2010-0042-PER,PER,Latin America and the Caribbean,Road,Road,2010,18.0,2010-01-29,2010-01-29,day,0,97,0.731,Moderate,0,1.0,0,Road,Road,,,,
2001-0549-GIN,GIN,Sub-Saharan Africa,Flood,Riverine flood,2001,9.0,2001-08-18,2001-08-18,day,0,10,0.366,Low,0,8.0,0,Flood,Riverine flood,200,Km2,200.0,Flood | Km2
2001-0551-MOZ,MOZ,Sub-Saharan Africa,Epidemic,Bacterial disease,2001,7.0,2001-08-01,2001-08-31,month,1,12,0.326,Low,0,8.0,0,Epidemic,Bacterial disease,,,,
