fold,split,feature,n,missing,missing_rate,dtype
1,train,country_code,8124,0,0.0,object
1,train,region,8124,0,0.0,object
1,train,disaster_type,8124,0,0.0,object
1,train,disaster_subtype,8124,0,0.0,object
1,train,date_granularity,8124,0,0.0,object
1,train,year,8124,0,0.0,int64
1,train,date_imputed,8124,0,0.0,int8
1,train,historical_frequency,8124,0,0.0,int64
1,train,hdi,8124,247,0.030403741999015264,float64
1,train,hdi_missing,8124,0,0.0,int8
1,train,event_month,8124,9,0.0011078286558345643,float64
1,train,month_missing,8124,0,0.0,int8
1,train,magnitude_robust_z,8124,6354,0.7821270310192023,float64
1,train,magnitude_missing,8124,0,0.0,int8
1,train,magnitude_group_unknown,8124,0,0.0,int8
1,validation,country_code,917,0,0.0,object
1,validation,region,917,0,0.0,object
1,validation,disaster_type,917,0,0.0,object
1,validation,disaster_subtype,917,0,0.0,object
1,validation,date_granularity,917,0,0.0,object
1,validation,year,917,0,0.0,int64
1,validation,date_imputed,917,0,0.0,int8
1,validation,historical_frequency,917,0,0.0,int64
1,validation,hdi,917,9,0.009814612868047983,float64
1,validation,hdi_missing,917,0,0.0,int8
1,validation,event_month,917,2,0.0021810250817884407,float64
1,validation,month_missing,917,0,0.0,int8
1,validation,magnitude_robust_z,917,760,0.8287895310796074,float64
1,validation,magnitude_missing,917,0,0.0,int8
1,validation,magnitude_group_unknown,917,0,0.0,int8
2,train,country_code,9041,0,0.0,object
2,train,region,9041,0,0.0,object
2,train,disaster_type,9041,0,0.0,object
2,train,disaster_subtype,9041,0,0.0,object
2,train,date_granularity,9041,0,0.0,object
2,train,year,9041,0,0.0,int64
2,train,date_imputed,9041,0,0.0,int8
2,train,historical_frequency,9041,0,0.0,int64
2,train,hdi,9041,256,0.028315451830549718,float64
2,train,hdi_missing,9041,0,0.0,int8
2,train,event_month,9041,11,0.0012166795708439331,float64
2,train,month_missing,9041,0,0.0,int8
2,train,magnitude_robust_z,9041,7114,0.7868598606348856,float64
2,train,magnitude_missing,9041,0,0.0,int8
2,train,magnitude_group_unknown,9041,0,0.0,int8
2,validation,country_code,859,0,0.0,object
2,validation,region,859,0,0.0,object
2,validation,disaster_type,859,0,0.0,object
2,validation,disaster_subtype,859,0,0.0,object
2,validation,date_granularity,859,0,0.0,object
2,validation,year,859,0,0.0,int64
2,validation,date_imputed,859,0,0.0,int8
2,validation,historical_frequency,859,0,0.0,int64
2,validation,hdi,859,26,0.030267753201396973,float64
2,validation,hdi_missing,859,0,0.0,int8
2,validation,event_month,859,3,0.0034924330616996507,float64
2,validation,month_missing,859,0,0.0,int8
2,validation,magnitude_robust_z,859,700,0.8149010477299186,float64
2,validation,magnitude_missing,859,0,0.0,int8
2,validation,magnitude_group_unknown,859,0,0.0,int8
3,train,country_code,9900,0,0.0,object
3,train,region,9900,0,0.0,object
3,train,disaster_type,9900,0,0.0,object
3,train,disaster_subtype,9900,0,0.0,object
3,train,date_granularity,9900,0,0.0,object
3,train,year,9900,0,0.0,int64
3,train,date_imputed,9900,0,0.0,int8
3,train,historical_frequency,9900,0,0.0,int64
3,train,hdi,9900,282,0.028484848484848484,float64
3,train,hdi_missing,9900,0,0.0,int8
3,train,event_month,9900,14,0.0014141414141414141,float64
3,train,month_missing,9900,0,0.0,int8
3,train,magnitude_robust_z,9900,7814,0.7892929292929293,float64
3,train,magnitude_missing,9900,0,0.0,int8
3,train,magnitude_group_unknown,9900,0,0.0,int8
3,validation,country_code,886,0,0.0,object
3,validation,region,886,0,0.0,object
3,validation,disaster_type,886,0,0.0,object
3,validation,disaster_subtype,886,0,0.0,object
3,validation,date_granularity,886,0,0.0,object
3,validation,year,886,0,0.0,int64
3,validation,date_imputed,886,0,0.0,int8
3,validation,historical_frequency,886,0,0.0,int64
3,validation,hdi,886,14,0.01580135440180587,float64
3,validation,hdi_missing,886,0,0.0,int8
3,validation,event_month,886,2,0.002257336343115124,float64
3,validation,month_missing,886,0,0.0,int8
3,validation,magnitude_robust_z,886,725,0.8182844243792325,float64
3,validation,magnitude_missing,886,0,0.0,int8
3,validation,magnitude_group_unknown,886,0,0.0,int8
4,train,country_code,10786,0,0.0,object
4,train,region,10786,0,0.0,object
4,train,disaster_type,10786,0,0.0,object
4,train,disaster_subtype,10786,0,0.0,object
4,train,date_granularity,10786,0,0.0,object
4,train,year,10786,0,0.0,int64
4,train,date_imputed,10786,0,0.0,int8
4,train,historical_frequency,10786,0,0.0,int64
4,train,hdi,10786,296,0.027442981642870387,float64
4,train,hdi_missing,10786,0,0.0,int8
4,train,event_month,10786,16,0.0014834044131281292,float64
4,train,month_missing,10786,0,0.0,int8
4,train,magnitude_robust_z,10786,8539,0.7916743927313183,float64
4,train,magnitude_missing,10786,0,0.0,int8
4,train,magnitude_group_unknown,10786,0,0.0,int8
4,validation,country_code,804,0,0.0,object
4,validation,region,804,0,0.0,object
4,validation,disaster_type,804,0,0.0,object
4,validation,disaster_subtype,804,0,0.0,object
4,validation,date_granularity,804,0,0.0,object
4,validation,year,804,0,0.0,int64
4,validation,date_imputed,804,0,0.0,int8
4,validation,historical_frequency,804,0,0.0,int64
4,validation,hdi,804,13,0.01616915422885572,float64
4,validation,hdi_missing,804,0,0.0,int8
4,validation,event_month,804,2,0.0024875621890547263,float64
4,validation,month_missing,804,0,0.0,int8
4,validation,magnitude_robust_z,804,692,0.8606965174129353,float64
4,validation,magnitude_missing,804,0,0.0,int8
4,validation,magnitude_group_unknown,804,0,0.0,int8
