model_id,fold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,quadratic_weighted_kappa,severe_to_low,low_to_severe,low_precision,low_recall,low_f1,low_support,moderate_precision,moderate_recall,moderate_f1,moderate_support,severe_precision,severe_recall,severe_f1,severe_support,severe_to_low_rate
LGBM_T2,1,0.6564885496183206,0.6263200183654728,0.5564009883409669,0.6263200183654728,0.5653408621666353,0.6790745143775654,0.47837128852565247,9,13,0.6141479099678456,0.7958333333333333,0.6932849364791288,240,0.8513513513513513,0.6247933884297521,0.7206863679694948,605,0.2037037037037037,0.4583333333333333,0.28205128205128205,72,0.125
LGBM_T2,2,0.6682188591385332,0.6002887006046734,0.5457967957967957,0.6002887006046734,0.5482768556938681,0.6851198239453061,0.3997484393925278,25,10,0.5439560439560439,0.8608695652173913,0.6666666666666666,230,0.9015151515151515,0.6285211267605634,0.7406639004149378,568,0.1919191919191919,0.3114754098360656,0.2375,61,0.4098360655737705
LGBM_T2,3,0.6523702031602708,0.5984923283565413,0.5394263133725318,0.5984923283565413,0.5451088526748215,0.6716056464921181,0.3653188154191037,21,18,0.5153203342618384,0.7939914163090128,0.625,233,0.8827751196172249,0.6264855687606112,0.7328699106256207,589,0.22018348623853212,0.375,0.2774566473988439,64,0.328125
LGBM_T2,4,0.7313432835820896,0.5996206897258352,0.609935670912002,0.5996206897258352,0.5971345447806339,0.727021676258551,0.52857933433473,13,4,0.6853658536585366,0.8726708074534162,0.76775956284153,322,0.8286516853932584,0.6812933025404158,0.7477820025348543,433,0.3157894736842105,0.24489795918367346,0.27586206896551724,49,0.2653061224489796
RF_T2,1,0.6619411123227917,0.6259450566268748,0.5563121362703304,0.6259450566268748,0.566278035024807,0.6804014737814488,0.44683408319771956,11,18,0.5677233429394812,0.8208333333333333,0.6712095400340715,240,0.8732718894009217,0.6264462809917355,0.7295476419634264,605,0.22794117647058823,0.4305555555555556,0.2980769230769231,72,0.1527777777777778
RF_T2,2,0.6833527357392316,0.6211227450232399,0.5608047312391407,0.6211227450232399,0.5674651453891921,0.6978964174740694,0.44592694593419335,17,11,0.5626740947075209,0.8782608695652174,0.6859083191850595,230,0.900990099009901,0.6408450704225352,0.7489711934156379,568,0.21875,0.3442622950819672,0.267515923566879,61,0.2786885245901639
RF_T2,3,0.6410835214446953,0.6585990764759746,0.5652045219587271,0.6585990764759746,0.5637357706593462,0.6611160891131496,0.426648547207662,16,18,0.5219638242894057,0.8669527896995708,0.6516129032258065,233,0.927170868347339,0.5619694397283531,0.6997885835095138,589,0.24647887323943662,0.546875,0.33980582524271846,64,0.25
RF_T2,4,0.7238805970149254,0.6362412421540561,0.6308108775296092,0.6362412421540561,0.6164747093221311,0.7209790081271175,0.5250040001476979,17,5,0.6578947368421053,0.9316770186335404,0.7712082262210797,322,0.8949152542372881,0.6096997690531177,0.7252747252747253,433,0.33962264150943394,0.3673469387755102,0.35294117647058826,49,0.3469387755102041
RF_weight_1,1,0.6335877862595419,0.6384947964493418,0.5544444262612542,0.6384947964493418,0.5558754638428817,0.6586724290419212,0.443375627028622,9,23,0.5735294117647058,0.8125,0.6724137931034483,240,0.8810126582278481,0.5752066115702479,0.696,605,0.2087912087912088,0.5277777777777778,0.2992125984251969,72,0.125
RF_weight_1,2,0.6635622817229336,0.6581976415394242,0.5714101058618776,0.6581976415394242,0.5734913740554399,0.6856080286117402,0.44586357907897756,17,16,0.56657223796034,0.8695652173913043,0.6861063464837049,230,0.9262295081967213,0.596830985915493,0.7259100642398287,568,0.22142857142857142,0.5081967213114754,0.30845771144278605,61,0.2786885245901639
RF_weight_1,3,0.6207674943566591,0.6669819287679951,0.5630589253836333,0.6669819287679951,0.5532166995731824,0.6422493059290635,0.42601238097196803,16,19,0.519280205655527,0.8669527896995708,0.6495176848874598,233,0.9363636363636364,0.5246179966044142,0.6724700761697497,589,0.23353293413173654,0.609375,0.33766233766233766,64,0.25
RF_weight_1,4,0.7164179104477612,0.6491902514595556,0.622960362915547,0.6491902514595556,0.6139467545602296,0.7169203747146898,0.5167870652980897,16,10,0.6607538802660754,0.9254658385093167,0.7710219922380336,322,0.9081272084805654,0.5935334872979214,0.7178770949720671,433,0.3,0.42857142857142855,0.35294117647058826,49,0.32653061224489793
RF_weight_1.25,1,0.6150490730643402,0.6437672176308541,0.5556556599148641,0.6437672176308541,0.5477402985368247,0.6451672680388825,0.43938629440675747,9,26,0.5866261398176292,0.8041666666666667,0.6783831282952548,240,0.8867924528301887,0.543801652892562,0.6741803278688525,605,0.1935483870967742,0.5833333333333334,0.2906574394463668,72,0.125
RF_weight_1.25,2,0.619324796274738,0.6545452568105233,0.5659233857754838,0.6545452568105233,0.5458815557593355,0.6509085686557373,0.4330983333507924,17,21,0.5835777126099707,0.8652173913043478,0.6970227670753065,230,0.9400630914826499,0.5246478873239436,0.6734463276836158,568,0.17412935323383086,0.5737704918032787,0.26717557251908397,61,0.2786885245901639
RF_weight_1.25,3,0.5711060948081265,0.6470423503987021,0.5507181203893124,0.6470423503987021,0.5145090442267538,0.5993325122779983,0.3933081365334874,14,30,0.5253333333333333,0.8454935622317596,0.6480263157894737,233,0.9469964664310954,0.45500848896434637,0.6146788990825688,589,0.17982456140350878,0.640625,0.2808219178082192,64,0.21875
RF_weight_1.25,4,0.7151741293532339,0.672021273616385,0.6269228046675488,0.672021273616385,0.6211654653507773,0.7184078186528843,0.5271216346974785,13,14,0.669683257918552,0.9192546583850931,0.774869109947644,322,0.9169675090252708,0.5866050808314087,0.7154929577464789,433,0.29411764705882354,0.5102040816326531,0.373134328358209,49,0.2653061224489796
RF_weight_1.5,1,0.5910577971646674,0.6503634833180287,0.5584851211063098,0.6503634833180287,0.5367267945131431,0.6257113766045668,0.4291863627961021,8,32,0.593167701863354,0.7958333333333333,0.6797153024911032,240,0.8994082840236687,0.5024793388429752,0.6447507953340403,605,0.1828793774319066,0.6527777777777778,0.2857142857142857,72,0.1111111111111111
RF_weight_1.5,2,0.5785797438882422,0.6362957144147853,0.5545820508746248,0.6362957144147853,0.5167384218220682,0.6121995995772017,0.4036603074103976,17,26,0.5648414985590778,0.8521739130434782,0.6793760831889082,230,0.9430604982206405,0.4665492957746479,0.624263839811543,568,0.15584415584415584,0.5901639344262295,0.2465753424657534,61,0.2786885245901639
RF_weight_1.5,3,0.5598194130925508,0.6553102479651989,0.5554813651742899,0.6553102479651989,0.5103140239494196,0.588881507155442,0.40146446384524004,13,31,0.5367847411444142,0.8454935622317596,0.6566666666666666,233,0.9550561797752809,0.432937181663837,0.5957943925233645,589,0.1746031746031746,0.6875,0.27848101265822783,64,0.203125
RF_weight_1.5,4,0.7039800995024875,0.6648274934032253,0.6145429661254497,0.6648274934032253,0.6056855515958418,0.7097728667994095,0.5244718251650374,13,15,0.676605504587156,0.9161490683229814,0.7783641160949868,322,0.9144981412639405,0.5681293302540416,0.7008547008547008,433,0.25252525252525254,0.5102040816326531,0.33783783783783783,49,0.2653061224489796
RF_weight_2,1,0.5376226826608506,0.6468893480257116,0.5577195055186343,0.6468893480257116,0.5056059301219032,0.5765157520822877,0.4034865267909121,6,43,0.594855305466238,0.7708333333333334,0.6715063520871143,240,0.9136690647482014,0.41983471074380163,0.5753114382785957,605,0.16463414634146342,0.75,0.27,72,0.08333333333333333
RF_weight_2,2,0.5215366705471478,0.6399583889652957,0.5577343217409619,0.6399583889652957,0.4861280712883191,0.5541928946385867,0.41035295433686636,13,30,0.5808383233532934,0.8434782608695652,0.6879432624113475,230,0.9504504504504504,0.3714788732394366,0.5341772151898734,568,0.1419141914191419,0.7049180327868853,0.23626373626373626,61,0.21311475409836064
RF_weight_2,3,0.5203160270880361,0.6378699955794235,0.5520909592439124,0.6378699955794235,0.4837268399526818,0.5542149077390063,0.3764357582232818,11,41,0.5478260869565217,0.8111587982832618,0.6539792387543253,233,0.9576271186440678,0.3837011884550085,0.5478787878787879,589,0.15081967213114755,0.71875,0.24932249322493225,64,0.171875
RF_weight_2,4,0.6293532338308457,0.6466796177251902,0.5897827957771232,0.6466796177251902,0.5431504606839218,0.6445108539095575,0.4917087104911707,11,26,0.6833333333333333,0.8913043478260869,0.7735849056603774,322,0.9174757281553398,0.43648960739030024,0.5915492957746479,433,0.16853932584269662,0.6122448979591837,0.2643171806167401,49,0.22448979591836735
RF_weight_2.5,1,0.47110141766630315,0.6203780226507499,0.5605548651129356,0.6203780226507499,0.46288723644363716,0.514237908566843,0.36036074849568456,4,61,0.6126760563380281,0.725,0.6641221374045801,240,0.9302325581395349,0.3305785123966942,0.4878048780487805,605,0.13875598086124402,0.8055555555555556,0.23673469387755103,72,0.05555555555555555
RF_weight_2.5,2,0.46332945285215366,0.6347068990325895,0.56002331002331,0.6347068990325895,0.44710246445099183,0.4866257357246977,0.38800756057261654,12,38,0.5696969696969697,0.8173913043478261,0.6714285714285714,230,0.9757575757575757,0.2834507042253521,0.4392905866302865,568,0.1346153846153846,0.8032786885245902,0.23058823529411765,61,0.19672131147540983
RF_weight_2.5,3,0.4717832957110609,0.6306941868810889,0.5570501726013147,0.6306941868810889,0.45392680509948163,0.5042390808734971,0.36173278263375275,9,50,0.56,0.7811158798283262,0.6523297491039427,233,0.9736842105263158,0.3140916808149406,0.4749679075738126,589,0.13746630727762804,0.796875,0.23448275862068965,64,0.140625
