model_id,fold,fit_predict_seconds
RF_T2,1,3.5772011000080965
RF_weight_1,1,3.1776755999890156
RF_weight_1.25,1,3.1782219000160694
RF_weight_1.5,1,3.1343984000268392
RF_weight_2,1,3.070282300002873
RF_weight_2.5,1,2.936982100014575
LGBM_T2,1,3.1640119000221603
RF_T2,2,3.8762622999493033
RF_weight_1,2,3.4238211999763735
RF_weight_1.25,2,3.5709103000117466
RF_weight_1.5,2,3.462739299982786
RF_weight_2,2,3.322435400041286
RF_weight_2.5,2,3.3114626999595203
LGBM_T2,2,2.9303100000252016
RF_T2,3,4.175303700030781
RF_weight_1,3,3.6484339000307955
RF_weight_1.25,3,3.301830600015819
RF_weight_1.5,3,3.531408899987582
RF_weight_2,3,3.5129409999935888
RF_weight_2.5,3,3.4962668999796733
LGBM_T2,3,2.9913913999916986
RF_T2,4,4.703147099993657
RF_weight_1,4,3.8187815000419505
RF_weight_1.25,4,3.772333599976264
RF_weight_1.5,4,3.6380069999722764
RF_weight_2,4,3.8842233999748714
RF_weight_2.5,4,3.6295778000494465
LGBM_T2,4,3.1583009000169113
