country_code,country,region
AFG,Afghanistan,Southern Asia
AGO,Angola,Sub-Saharan Africa
AIA,Anguilla,Latin America and the Caribbean
ALB,Albania,Southern Europe
ANT,Netherlands Antilles,Latin America and the Caribbean
ARE,United Arab Emirates,Western Asia
ARG,Argentina,Latin America and the Caribbean
ARM,Armenia,Western Asia
ASM,American Samoa,Polynesia
ATG,Antigua and Barbuda,Latin America and the Caribbean
AUS,Australia,Australia and New Zealand
AUT,Austria,Western Europe
AZE,Azerbaijan,Western Asia
BDI,Burundi,Sub-Saharan Africa
BEL,Belgium,Western Europe
BEN,Benin,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa
BGD,Bangladesh,Southern Asia
BGR,Bulgaria,Eastern Europe
BHR,Bahrain,Western Asia
BHS,Bahamas,Latin America and the Caribbean
BIH,Bosnia and Herzegovina,Southern Europe
BLM,Saint Barthélemy,Latin America and the Caribbean
BLR,Belarus,Eastern Europe
BLZ,Belize,Latin America and the Caribbean
BMU,Bermuda,Northern America
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean
BRA,Brazil,Latin America and the Caribbean
BRB,Barbados,Latin America and the Caribbean
BTN,Bhutan,Southern Asia
BWA,Botswana,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
CAN,Canada,Northern America
CHE,Switzerland,Western Europe
CHL,Chile,Latin America and the Caribbean
CHN,China,Eastern Asia
CIV,Côte d’Ivoire,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
COK,Cook Islands,Polynesia
COL,Colombia,Latin America and the Caribbean
COM,Comoros,Sub-Saharan Africa
CPV,Cabo Verde,Sub-Saharan Africa
CRI,Costa Rica,Latin America and the Caribbean
CUB,Cuba,Latin America and the Caribbean
CUW,Curaçao,Latin America and the Caribbean
CYM,Cayman Islands,Latin America and the Caribbean
CYP,Cyprus,Western Asia
CZE,Czechia,Eastern Europe
DEU,Germany,Western Europe
DJI,Djibouti,Sub-Saharan Africa
DMA,Dominica,Latin America and the Caribbean
DNK,Denmark,Northern Europe
DOM,Dominican Republic,Latin America and the Caribbean
DZA,Algeria,Northern Africa
ECU,Ecuador,Latin America and the Caribbean
EGY,Egypt,Northern Africa
