country_code,time_batch,interval_start,interval_end,event_count
AFG,2000-01,2000-01-01,2000-01-31,1
AFG,2000-05,2000-05-01,2000-05-31,2
AFG,2000-08,2000-08-01,2000-08-31,1
AFG,2000-09,2000-09-01,2000-09-30,1
AFG,2000-09-29,2000-09-29,2000-09-29,1
AFG,2001-01-31,2001-01-31,2001-01-31,1
AFG,2001-06-01,2001-06-01,2001-06-01,2
AFG,2001-11,2001-11-01,2001-11-30,1
AFG,2001-12-01,2001-12-01,2001-12-01,1
AFG,2001-12-08,2001-12-08,2001-12-08,1
AFG,2002-01,2002-01-01,2002-01-31,1
AFG,2002-02-06,2002-02-06,2002-02-06,1
AFG,2002-03,2002-03-01,2002-03-31,1
AFG,2002-03-03,2002-03-03,2002-03-03,1
AFG,2002-03-22,2002-03-22,2002-03-22,1
AFG,2002-03-25,2002-03-25,2002-03-25,1
AFG,2002-03-28,2002-03-28,2002-03-28,1
AFG,2002-04-04,2002-04-04,2002-04-04,1
AFG,2002-04-10,2002-04-10,2002-04-10,1
AFG,2002-04-12,2002-04-12,2002-04-12,1
AFG,2002-04-23,2002-04-23,2002-04-23,1
AFG,2002-06-08,2002-06-08,2002-06-08,1
AFG,2002-07-01,2002-07-01,2002-07-01,1
AFG,2002-07,2002-07-01,2002-07-31,1
AFG,2002-07-20,2002-07-20,2002-07-20,1
AFG,2002-08-06,2002-08-06,2002-08-06,1
AFG,2002-08-09,2002-08-09,2002-08-09,1
AFG,2002-08-28,2002-08-28,2002-08-28,1
AFG,2002-09-01,2002-09-01,2002-09-01,1
AFG,2002-10-24,2002-10-24,2002-10-24,1
AFG,2003-01,2003-01-01,2003-01-31,1
AFG,2003-03-17,2003-03-17,2003-03-17,1
AFG,2003-04-10,2003-04-10,2003-04-10,1
AFG,2003-04-18,2003-04-18,2003-04-18,1
AFG,2003-05-26,2003-05-26,2003-05-26,1
AFG,2003-06-16,2003-06-16,2003-06-16,1
AFG,2003-07-09,2003-07-09,2003-07-09,1
AFG,2003-07-12,2003-07-12,2003-07-12,1
AFG,2003-07-29,2003-07-29,2003-07-29,1
AFG,2003-08-04,2003-08-04,2003-08-04,1
AFG,2004-01-15,2004-01-15,2004-01-15,1
AFG,2004-03-20,2004-03-20,2004-03-20,1
AFG,2004-05-02,2004-05-02,2004-05-02,1
AFG,2004-07-13,2004-07-13,2004-07-13,1
AFG,2004-07-18,2004-07-18,2004-07-18,1
AFG,2004-07-26,2004-07-26,2004-07-26,1
AFG,2005-01,2005-01-01,2005-01-31,1
AFG,2005-02-03,2005-02-03,2005-02-03,1
AFG,2005-03-05,2005-03-05,2005-03-05,2
AFG,2005-03-29,2005-03-29,2005-03-29,1
AFG,2005-04-07,2005-04-07,2005-04-07,1
AFG,2005-04-09,2005-04-09,2005-04-09,1
AFG,2005-05-02,2005-05-02,2005-05-02,1
AFG,2005-05-04,2005-05-04,2005-05-04,1
AFG,2005-06-16,2005-06-16,2005-06-16,1
AFG,2005-06-21,2005-06-21,2005-06-21,1
AFG,2005-06-25,2005-06-25,2005-06-25,1
AFG,2005-07-10,2005-07-10,2005-07-10,1
AFG,2005-08-20,2005-08-20,2005-08-20,1
AFG,2005-09-11,2005-09-11,2005-09-11,1
AFG,2005-10-08,2005-10-08,2005-10-08,1
AFG,2005-12-13,2005-12-13,2005-12-13,1
AFG,2005-12-27,2005-12-27,2005-12-27,1
AFG,2005-12-28,2005-12-28,2005-12-28,1
AFG,2006-01-01,2006-01-01,2006-01-01,1
AFG,2006-01-13,2006-01-13,2006-01-13,1
AFG,2006-01-31,2006-01-31,2006-01-31,1
AFG,2006-02,2006-02-01,2006-02-28,1
AFG,2006-04-28,2006-04-28,2006-04-28,1
AFG,2006-05,2006-05-01,2006-05-31,1
AFG,2006-05-05,2006-05-05,2006-05-05,1
AFG,2006-05-19,2006-05-19,2006-05-19,1
AFG,2006-07,2006-07-01,2006-07-31,1
AFG,2006-07-09,2006-07-09,2006-07-09,1
AFG,2006-07-26,2006-07-26,2006-07-26,1
AFG,2006-07-29,2006-07-29,2006-07-29,1
AFG,2006-07-30,2006-07-30,2006-07-30,2
AFG,2006-11-16,2006-11-16,2006-11-16,1
AFG,2007-03-18,2007-03-18,2007-03-18,1
AFG,2007-04-23,2007-04-23,2007-04-23,1
AFG,2007-04-30,2007-04-30,2007-04-30,1
AFG,2007-05-05,2007-05-05,2007-05-05,1
AFG,2007-05-14,2007-05-14,2007-05-14,1
AFG,2007-06-24,2007-06-24,2007-06-24,1
AFG,2007-07-15,2007-07-15,2007-07-15,1
AFG,2007-09-24,2007-09-24,2007-09-24,1
AFG,2008-01-05,2008-01-05,2008-01-05,1
AFG,2008-05-28,2008-05-28,2008-05-28,1
AFG,2008-08,2008-08-01,2008-08-31,1
AFG,2008-10,2008-10-01,2008-10-31,1
AFG,2008-10-06,2008-10-06,2008-10-06,1
AFG,2009-01-15,2009-01-15,2009-01-15,1
AFG,2009-01-18,2009-01-18,2009-01-18,1
AFG,2009-03-25,2009-03-25,2009-03-25,1
AFG,2009-04-04,2009-04-04,2009-04-04,1
AFG,2009-04-16,2009-04-16,2009-04-16,1
AFG,2009-07-19,2009-07-19,2009-07-19,1
AFG,2009-09-03,2009-09-03,2009-09-03,1
AFG,2009-10-26,2009-10-26,2009-10-26,1
AFG,2010-02-06,2010-02-06,2010-02-06,1
AFG,2010-03-02,2010-03-02,2010-03-02,1
AFG,2010-03-17,2010-03-17,2010-03-17,1
AFG,2010-04-18,2010-04-18,2010-04-18,1
AFG,2010-05-05,2010-05-05,2010-05-05,1
AFG,2010-05-17,2010-05-17,2010-05-17,1
AFG,2010-07-26,2010-07-26,2010-07-26,1
AFG,2010-07-27,2010-07-27,2010-07-27,1
AFG,2010-10-27,2010-10-27,2010-10-27,1
AFG,2011-01,2011-01-01,2011-01-31,1
AFG,2011-02-10,2011-02-10,2011-02-10,2
AFG,2011-04-28,2011-04-28,2011-04-28,1
AFG,2011-05-01,2011-05-01,2011-05-01,1
AFG,2011-05-14,2011-05-14,2011-05-14,1
